,credit_card,reviews,user,comment,polarity,polarity_type
10,American Express Credit Card,Recently this card amazed luxury features. Though annual little high worth spending compared benefits that get.,Ashlesha,recent thi card amaz luxuri features. though annual littl high worth spend compar benefit that get.,0.153333333,Neutral
11,State Bank of India Credit Card,Wonderful credit card travellers. Free membership helps lot. high.,Ronit Shukla,wonder credit card travellers. free membership help lot. high.,0.28,Positive
12,State Bank of India Credit Card,this card when travel work every month gave good benefits. annual high; would have been better could similar features lower fee. Other features also good.,Shaheen,thi card when travel work everi month gave good benefits. annual high; would have been better could similar featur lower fee. other featur also good.,0.412,Positive
13,State Bank of India Credit Card,This great card shop Bazaar frequently. annual also very less. recommend this regular shoppers.,Radhika Soni,thi great card shop bazaar frequently. annual also veri less. recommend thi regular shoppers.,0.183333333,Neutral
14,HDFC Bank Credit Card,good credit card that gave benefits entertainment. satisfied with this.,Reena Sen,good credit card that gave benefit entertainment. satisfi with this.,0.7,Positive
15,HDFC Bank Credit Card,very satisfied with service because Card Just single click with good limit. Really thanks Paisabazaar Ankit Pandey(EW04877).,Ankush,veri satisfi with servic becaus card just singl click with good limit. realli thank paisabazaar ankit pandey(ew04877).,0.7,Positive
16,HDFC Bank Credit Card,"truly addictive advantages plenty. fact, what card negligible compare with offerings. appears can't live without this card",V Srikanth,"truli addict advantag plenty. fact, what card neglig compar with offerings. appear can't live without thi card",0.136363636,Neutral
17,HDFC Bank Credit Card,"This card parallel. have used plenty credit cards this offers innumerable benefits. appears, can't live without this card truly addictive",V Srikanth,"thi card parallel. have use plenti credit card thi offer innumer benefits. appears, can't live without thi card truli addict",0.068181818,Neutral
18,HDFC Bank Credit Card,Glad that agents come right door documentation this card.,Gogy,glad that agent come right door document thi card.,0.392857143,Positive
19,State Bank of India Credit Card,With easy money facility having money delivered home problem.,Ashna,with easi money facil have money deliv home problem.,0,Neutral
20,HDFC Bank Credit Card,simply cherish vast benefits savings coming with this card.,Savera,simpli cherish vast benefit save come with thi card.,0,Neutral
21,HDFC Bank Credit Card,"easy book flight tickets, hotel stay, movie tickets recharge with this card.",Bani,"easi book flight tickets, hotel stay, movi ticket recharg with thi card.",0,Neutral
22,HDFC Bank Credit Card,assistance with anything from flight bookings gift delivery with this card.,Ashraf,assist with anyth from flight book gift deliveri with thi card.,0,Neutral
23,HDFC Bank Credit Card,This perfect card offers benefits won't find elsewhere.,Pankhi,thi perfect card offer benefit won't find elsewhere.,1,Positive
24,HDFC Bank Credit Card,"Super relieved that just days, HDFC card approved delivered.",Imran,"super reliev that just days, hdfc card approv delivered.",0.333333333,Positive
25,HDFC Bank Credit Card,credit limit with this card. happy!,Kajol,credit limit with thi card. happy!,0,Neutral
26,HDFC Bank Credit Card,Super relieved with this card. helps ticket items EMI.,Soha,super reliev with thi card. help ticket item emi.,0.333333333,Positive
27,HDFC Bank Credit Card,facility this card perfect! This because interest cost very low.,Harminder,facil thi card perfect! thi becaus interest cost veri low.,0.5,Positive
28,HDFC Bank Credit Card,Glad that documentation simple easy follow.,Gappu,glad that document simpl easi follow.,0.5,Positive
29,HDFC Bank Credit Card,Super relieved with fine benefits umpteen rewards coming with this card.,Savera,super reliev with fine benefit umpteen reward come with thi card.,0.375,Positive
30,HDFC Bank Credit Card,Glad that HDFC very helpful with vacation bookings done with this card.,Hitesh,glad that hdfc veri help with vacat book done with thi card.,0.5,Positive
31,HDFC Bank Credit Card,Payment utility bills easy with card.,Uttam,payment util bill easi with card.,0,Neutral
32,HDFC Bank Credit Card,paid minimum amount HDFC convert remaining balance EMI.,Mobin,paid minimum amount hdfc convert remain balanc emi.,0,Neutral
33,HDFC Bank Credit Card,"happy that with HDFC, literally faced hassle with reward redemption.",Astha,"happi that with hdfc, liter face hassl with reward redemption.",0,Neutral
34,HDFC Bank Credit Card,choice redeem points manner wanted.,Raja,choic redeem point manner wanted.,0,Neutral
35,HDFC Bank Credit Card,"didn't want redeem reward points against travel bookings, shopped from HDFC catalogue.",Hitakshi,"didn't want redeem reward point against travel bookings, shop from hdfc catalogue.",0,Neutral
36,HDFC Bank Credit Card,HDFC Diners club catalogue pretty diverse some items available.,Osama,hdfc diner club catalogu pretti divers some item available.,0,Neutral
37,HDFC Bank Credit Card,getting access world class golf courses with card.,Vivaan,get access world class golf cours with card.,0,Neutral
38,HDFC Bank Credit Card,"benefit friendly escort guide country, remove language barrier ensure that arrangements place.",Amitab,"benefit friendli escort guid country, remov languag barrier ensur that arrang place.",0,Neutral
39,HDFC Bank Credit Card,Really enjoying variety rewards spending coming with this card.,Vivaan,realli enjoy varieti reward spend come with thi card.,0.4,Positive
40,HDFC Bank Credit Card,This most superior card have ever used.,Madhuri,thi most superior card have ever used.,0.7,Positive
41,HDFC Bank Credit Card,benefit card absolutely free with card.,Adhira,benefit card absolut free with card.,0.4,Positive
42,HDFC Bank Credit Card,Love BOGO offer movies that with card.,Kareena,love bogo offer movi that with card.,0.5,Positive
43,HDFC Bank Credit Card,"good number rewards spending done grocery, super markets departmental stores.",Nidhi,"good number reward spend done grocery, super market department stores.",0.516666667,Positive
44,HDFC Bank Credit Card,happy with escort service that with card travel Korea.,Ali,happi with escort servic that with card travel korea.,0,Neutral
45,HDFC Bank Credit Card,free gifting delivery midnight cake flower delivery perfect concierge benefit.,Guru,free gift deliveri midnight cake flower deliveri perfect concierg benefit.,0.7,Positive
46,HDFC Bank Credit Card,additional baggage allowance part benefit HDFC card.,Ashna,addit baggag allow part benefit hdfc card.,0,Neutral
47,HDFC Bank Credit Card,This card brings lounging benefits with Priority pass membership.,Lashkar,thi card bring loung benefit with prioriti pass membership.,0,Neutral
48,HDFC Bank Credit Card,getting good discount deal dining HDFC partner restaurants.,Samya,get good discount deal dine hdfc partner restaurants.,0.7,Positive
49,HDFC Bank Credit Card,renewal waived since spending crossed milestone limit lac.,Neha,renew waiv sinc spend cross mileston limit lac.,0,Neutral
50,HDFC Bank Credit Card,getting complimentary medical travel benefits with HDFC card.,Kanika,get complimentari medic travel benefit with hdfc card.,0,Neutral
51,HDFC Bank Credit Card,This card offers priority customer benefits users.,Gagan,thi card offer prioriti custom benefit users.,0,Neutral
52,HDFC Bank Credit Card,Super satiated with fine rewards benefits applicable this card.,Shree,super satiat with fine reward benefit applic thi card.,0.375,Positive
53,HDFC Bank Credit Card,simply cherish vast benefits savings coming with this card.,Vibha,simpli cherish vast benefit save come with thi card.,0,Neutral
54,HDFC Bank Credit Card,many people know concierge assistance HDFC best!,Kartik,mani peopl know concierg assist hdfc best!,1,Positive
55,HDFC Bank Credit Card,"people holidays frequently, there cannot better card.",Haneet,"peopl holiday frequently, there cannot better card.",0.3,Positive
56,HDFC Bank Credit Card,"this card, assured luxurious personalized travel stay experience.",Larissa,"thi card, assur luxuri person travel stay experience.",0,Neutral
57,HDFC Bank Credit Card,"this HDFC card, getting host upgrades, services benefits.",Soha,"thi hdfc card, get host upgrades, servic benefits.",0,Neutral
58,HDFC Bank Credit Card,This card definitely helps lead dream luxury lifestyle.,Anurag,thi card definit help lead dream luxuri lifestyle.,0,Neutral
59,HDFC Bank Credit Card,professional self employed individual with decent salary. this card with hassle.,Prerna,profession self employ individu with decent salary. thi card with hassle.,0.166666667,Neutral
60,HDFC Bank Credit Card,"Group Vivanta Gateway Hotels, getting exclusive dining privileges.",Tavish,"group vivanta gateway hotels, get exclus dine privileges.",0,Neutral
61,HDFC Bank Credit Card,"HDFC card, amazing welcome rewards 10,000.",Vivaan,"hdfc card, amaz welcom reward 10,000.",0,Neutral
62,HDFC Bank Credit Card,This card fetches reward points spent with card.,Raman,thi card fetch reward point spent with card.,-0.1,Neutral
63,HDFC Bank Credit Card,"This card Premium Diners Club Miles Exchange Program, which Reward Point gives AirMiles Domestic International Airlines.",Srijan,"thi card premium diner club mile exchang program, which reward point give airmil domest intern airlines.",0,Neutral
64,HDFC Bank Credit Card,"HDFC card, getting Accident Cover Crore.",Ana,"hdfc card, get accid cover crore.",0,Neutral
65,HDFC Bank Credit Card,"CIBIL Score over 700, card approval with ease.",Soha,"cibil score over 700, card approv with ease.",0,Neutral
66,HDFC Bank Credit Card,"With this card, getting special privileges Group Vivanta Gateway Hotels.",Gautam,"with thi card, get special privileg group vivanta gateway hotels.",0.357142857,Positive
67,HDFC Bank Credit Card,"This card offers unlimited Golf Lessons, booked through dedicated concierge desk",Gopal,"thi card offer unlimit golf lessons, book through dedic concierg desk",0,Neutral
68,HDFC Bank Credit Card,"With HDFC card, getting unlimited Airport lounge access 700+ Lounges India worldwide.",Harman,"with hdfc card, get unlimit airport loung access 700+ loung india worldwide.",0,Neutral
69,HDFC Bank Credit Card,There concierge service various dedicated dining offers applicable this card.,Kavya,there concierg servic variou dedic dine offer applic thi card.,0,Neutral
70,HDFC Bank Credit Card,"international expenses carried with card, markup only borne.",Shazia,"intern expens carri with card, markup onli borne.",0,Neutral
71,HDFC Bank Credit Card,facility perfect. Revolving credit also very this card.,Anant,facil perfect. revolv credit also veri thi card.,1,Positive
72,HDFC Bank Credit Card,easy shop value items with this card.,Ashima,easi shop valu item with thi card.,0,Neutral
73,HDFC Bank Credit Card,Super content with discounts savings coming with HDFC card.,Naina,super content with discount save come with hdfc card.,0.333333333,Positive
74,HDFC Bank Credit Card,This best card have ever used. Brings good value.,Shazia,thi best card have ever used. bring good value.,0.85,Positive
75,HDFC Bank Credit Card,thing have genuinely liked about this card easy reward redemption.,Savan,thing have genuin like about thi card easi reward redemption.,0,Neutral
76,HDFC Bank Credit Card,There plethora ways customers redeem rewards with HDFC.,Pooja,there plethora way custom redeem reward with hdfc.,0,Neutral
77,HDFC Bank Credit Card,Definitely cherish vast rewards benefits that getting with this card.,Dina,definit cherish vast reward benefit that get with thi card.,0,Neutral
78,HDFC Bank Credit Card,"Since love golf, love golfing benefits getting with this card",Akash,"sinc love golf, love golf benefit get with thi card",0.5,Positive
79,HDFC Bank Credit Card,concierge assistance most perfect benefit HDFC,Kapil,concierg assist most perfect benefit hdfc,1,Positive
80,HDFC Bank Credit Card,Glad that team HDFC helpful when needed assistance.,Tabu,glad that team hdfc help when need assistance.,0.5,Positive
81,HDFC Bank Credit Card,Super relieved with array benefits vivid savings applicable with this card.,Savi,super reliev with array benefit vivid save applic with thi card.,0.229166667,Neutral
82,HDFC Bank Credit Card,Glad that HDFC followed very simple documentation with this card.,Sodhi,glad that hdfc follow veri simpl document with thi card.,0.5,Positive
83,HDFC Bank Credit Card,genuinely saving more ever since switched this card.,Soha,genuin save more ever sinc switch thi card.,0,Neutral
84,HDFC Bank Credit Card,"Given high joining fee, this card actually provides benefits worth value",Harshna,"given high join fee, thi card actual provid benefit worth valu",0.153333333,Neutral
85,HDFC Bank Credit Card,"joining applicable this card, only 10,000.",Jigar,"join applic thi card, onli 10,000.",0,Neutral
86,HDFC Bank Credit Card,happy glad with plethora offers benefits that this card brought way.,Ashraf,happi glad with plethora offer benefit that thi card brought way.,0.5,Positive
87,HDFC Bank Credit Card,year association with HDFC. benefits provides superior.,Astha,year associ with hdfc. benefit provid superior.,0.7,Positive
88,HDFC Bank Credit Card,happy satiated with innumerable benefits coming after switching this card.,Sonakshi,happi satiat with innumer benefit come after switch thi card.,0,Neutral
89,HDFC Bank Credit Card,Cannot describe happiness. This best card ever.,Bharti,cannot describ happiness. thi best card ever.,1,Positive
90,HDFC Bank Credit Card,Super happy relieved with plethora offers coming with this card.,Sona,super happi reliev with plethora offer come with thi card.,0.333333333,Positive
91,HDFC Bank Credit Card,Absolutely cherish fine benefits rewards that getting with this card.,Augustya,absolut cherish fine benefit reward that get with thi card.,0.416666667,Positive
92,HDFC Bank Credit Card,Love cost cost saving this credit card,Lisha,love cost cost save thi credit card,0.5,Positive
93,HDFC Bank Credit Card,Cannot over fact that this card fetched array benefits.,Farida,cannot over fact that thi card fetch array benefits.,0,Neutral
94,HDFC Bank Credit Card,supremely impressed with fine benefits discounts that getting with this card.,Anant,suprem impress with fine benefit discount that get with thi card.,0.416666667,Positive
95,HDFC Bank Credit Card,This perfectly reward based card that brings multitude offers,Pavitra,thi perfectli reward base card that bring multitud offer,-0.8,Negative
96,HDFC Bank Credit Card,accrued reward points used bookings shopping from catalogue,Ashish,accru reward point use book shop from catalogu,0,Neutral
97,HDFC Bank Credit Card,"partner portals like Zomato basket, good reward points spending.",Zoravar,"partner portal like zomato basket, good reward point spending.",0.7,Positive
98,HDFC Bank Credit Card,restaurants world with this card.,Romi,restaur world with thi card.,0,Neutral
99,HDFC Bank Credit Card,easy make payments with this HDFC card.,Anand,easi make payment with thi hdfc card.,0,Neutral
100,HDFC Bank Credit Card,There only charged re-issue lost card.,Saif,there onli charg re-issu lost card.,0,Neutral
101,HDFC Bank Credit Card,"Happy that when lost card, HDFC agents helped immediately.",Sukhi,"happi that when lost card, hdfc agent help immediately.",0,Neutral
102,HDFC Bank Credit Card,good flower delivery gifting assistance with HDFC 24/7.,Suman,good flower deliveri gift assist with hdfc 24/7.,0.7,Positive
103,HDFC Bank Credit Card,book hotel with concierge assistance HDFC.,Shayam,book hotel with concierg assist hdfc.,0,Neutral
104,HDFC Bank Credit Card,There Golf Course Referral Reservation Assistance available free with this card.,Gopal,there golf cours referr reserv assist avail free with thi card.,0.4,Positive
105,HDFC Bank Credit Card,exclusive bookings well taken care concierge.,Jigar,exclus book well taken care concierge.,0,Neutral
106,HDFC Bank Credit Card,There exclusive 24.7 Concierge assistance available from HDFC.,Sanjana,there exclus 24.7 concierg assist avail from hdfc.,0,Neutral
107,HDFC Bank Credit Card,"This best card especially when comes mega benefits travel, golf dining.",Bhabita,"thi best card especi when come mega benefit travel, golf dining.",1,Positive
108,HDFC Bank Credit Card,There massive benefits golf applicable with credit card.,Manya,there massiv benefit golf applic with credit card.,0,Neutral
109,HDFC Bank Credit Card,getting access 700+ leading airport lounges world.,Lavanya,get access 700+ lead airport loung world.,0,Neutral
110,HDFC Bank Credit Card,Through Exclusive Lounge Program easy back relax lounges world.,Ashish,through exclus loung program easi back relax loung world.,0,Neutral
111,HDFC Bank Credit Card,This perfect cost card wherein renewal joining waived off.,Pankhi,thi perfect cost card wherein renew join waiv off.,1,Positive
112,HDFC Bank Credit Card,easy upgrade international daily limit spending.,Anant,easi upgrad intern daili limit spending.,0,Neutral
113,HDFC Bank Credit Card,"could redeem rewards AirMiles across British Airways Executive Club (Avios), Airways (JPMiles), Singapore Airlines (Kris Flyer Miles), Club Vistara Reward Point AirMiles).",Rega,"could redeem reward airmil across british airway execut club (avios), airway (jpmiles), singapor airlin (kri flyer miles), club vistara reward point airmiles).",0,Neutral
114,HDFC Bank Credit Card,"Absolutely cherish this card number hotel, travel, lifestyle other benefits.",Jigar,"absolut cherish thi card number hotel, travel, lifestyl other benefits.",0,Neutral
115,HDFC Bank Credit Card,This good credit card with array fine benefits.,Farida,thi good credit card with array fine benefits.,0.558333333,Positive
116,HDFC Bank Credit Card,Every reward point value. Never seen such high redemption value elsewhere.,Harjeet,everi reward point value. never seen such high redempt valu elsewhere.,0.16,Neutral
117,HDFC Bank Credit Card,accrued points. Redeemed them booking tickets hotel reservations discount 25k.,Pankaj,accru points. redeem them book ticket hotel reserv discount 25k.,0,Neutral
118,HDFC Bank Credit Card,getting amazing deals with hotel travel bookings with card.,Rajan,get amaz deal with hotel travel book with card.,0,Neutral
119,HDFC Bank Credit Card,This perfect card lets book tickets hotels across globe with ease.,Tevar,thi perfect card let book ticket hotel across globe with ease.,1,Positive
120,HDFC Bank Credit Card,genuinely like this card diversity travel lifestyle benefits that brings.,Savita,genuin like thi card divers travel lifestyl benefit that brings.,0,Neutral
121,HDFC Bank Credit Card,This perfect cost card have ever used while.,Manju,thi perfect cost card have ever use while.,1,Positive
122,HDFC Bank Credit Card,easy apply this card online have delivered.,Ashish,easi appli thi card onlin have delivered.,0,Neutral
123,HDFC Bank Credit Card,There complementary insurance benefit applicable with this card.,Chandu,there complementari insur benefit applic with thi card.,0,Neutral
124,HDFC Bank Credit Card,Glad that HDFC card comes with such cost. Happy!,Hardik,glad that hdfc card come with such cost. happy!,0.5,Positive
125,HDFC Bank Credit Card,Super excited relieved receiving plethora benefits with HDFC card.,Sohan,super excit reliev receiv plethora benefit with hdfc card.,0.333333333,Positive
126,HDFC Bank Credit Card,This perfect card with amazing range benefits.,Astha,thi perfect card with amaz rang benefits.,1,Positive
127,HDFC Bank Credit Card,gift vouchers with HDFC value 5000 with this card.,Gagan,gift voucher with hdfc valu 5000 with thi card.,0,Neutral
128,HDFC Bank Credit Card,glad that HDFC waived renewal milestone spending,Astha,glad that hdfc waiv renew mileston spend,0.5,Positive
129,HDFC Bank Credit Card,This such perfect card with perfect benefits. Love,Prajeet,thi such perfect card with perfect benefits. love,0.833333333,Positive
130,HDFC Bank Credit Card,getting free assistance advance hotel restaurant reservations.,Farida,get free assist advanc hotel restaur reservations.,0.4,Positive
131,HDFC Bank Credit Card,"dining, travel convenience, this card one.",Ashish,"dining, travel convenience, thi card one.",0,Neutral
132,HDFC Bank Credit Card,Super easy relieved with fine benefits coming with this card.,Farida,super easi reliev with fine benefit come with thi card.,0.375,Positive
133,HDFC Bank Credit Card,benefit redemption rewards done with card.,Binita,benefit redempt reward done with card.,0,Neutral
134,HDFC Bank Credit Card,redemption rewards simple easy with card.,Rashi,redempt reward simpl easi with card.,0,Neutral
135,HDFC Bank Credit Card,reason opted this credit card because incredibly cost very rewarding.,Akash,reason opt thi credit card becaus incred cost veri rewarding.,0,Neutral
136,HDFC Bank Credit Card,There plethora products listed gift catalogue which redeem points.,Pavitesh,there plethora product list gift catalogu which redeem points.,0,Neutral
137,HDFC Bank Credit Card,rewards transferred partner airline ratio.,Tanu,reward transfer partner airlin ratio.,0,Neutral
138,HDFC Bank Credit Card,easily redeem rewards HDFC Diners Club website.,Anshita,easili redeem reward hdfc diner club website.,0,Neutral
139,HDFC Bank Credit Card,"loading/reloading Forex card, rewards with HDFC.",Farida,"loading/reload forex card, reward with hdfc.",0,Neutral
140,HDFC Bank Credit Card,"With regard HDFC SmartBuy facility, reward points last calendar month.",Pankaj,"with regard hdfc smartbuy facility, reward point last calendar month.",0,Neutral
141,HDFC Bank Credit Card,"part reward partner program, points with HDFC.",Raman,"part reward partner program, point with hdfc.",0,Neutral
142,HDFC Bank Credit Card,"HDFC reward partner program, points from HDFC.",Shivang,"hdfc reward partner program, point from hdfc.",0,Neutral
143,HDFC Bank Credit Card,Spending with card brings reward points.,Savita,spend with card bring reward points.,0,Neutral
144,HDFC Bank Credit Card,"website HDFC, every reward points equal",Vivaan,"websit hdfc, everi reward point equal",0,Neutral
145,HDFC Bank Credit Card,There assured saving spending done with this HDFC card.,Savita,there assur save spend done with thi hdfc card.,0,Neutral
146,HDFC Bank Credit Card,"this card, earned around points last year.",Astha,"thi card, earn around point last year.",0,Neutral
147,HDFC Bank Credit Card,"every spent, saving 3.3%. Delighted",Dinesh,"everi spent, save 3.3%. delight",-0.1,Neutral
148,HDFC Bank Credit Card,"paying joining renewal fee, bonus points same value.",Jamna,"pay join renew fee, bonu point same value.",0,Neutral
149,HDFC Bank Credit Card,this lifetime free card from HDFC being their loyal member decades.,Lucky,thi lifetim free card from hdfc be their loyal member decades.,0.366666667,Positive
150,HDFC Bank Credit Card,"HDFC card, 5000 renewal bonus. happy!",Raveena,"hdfc card, 5000 renew bonus. happy!",0,Neutral
151,HDFC Bank Credit Card,"10,000 points welcome benefit this card.",Vishwa,"10,000 point welcom benefit thi card.",0,Neutral
152,HDFC Bank Credit Card,Glad that HDFC waived renewal fee. best bank!,Gagan,glad that hdfc waiv renew fee. best bank!,0.75,Positive
153,HDFC Bank Credit Card,first year waived HDFC since have been associated with them past decades.,Vivan,first year waiv hdfc sinc have been associ with them past decades.,0,Neutral
154,HDFC Bank Credit Card,bear cost 5000 renewal card.,Kashif,bear cost 5000 renew card.,0,Neutral
155,HDFC Bank Credit Card,"annual spending lac, renewal waived HDFC.",Aadesh,"annual spend lac, renew waiv hdfc.",0,Neutral
156,HDFC Bank Credit Card,"Tata Cliq, getting rewards with this card. happy!!",Naina,"tata cliq, get reward with thi card. happy!!",0,Neutral
157,HDFC Bank Credit Card,There Complimentary golf games quarter available with card.,Atharv,there complimentari golf game quarter avail with card.,-0.4,Negative
158,HDFC Bank Credit Card,"HDFC credit card, getting accidental cover crore.",Anu,"hdfc credit card, get accident cover crore.",0,Neutral
159,HDFC Bank Credit Card,concierge service available assistance 24/7.,Vivaan,concierg servic avail assist 24/7.,0,Neutral
160,HDFC Bank Credit Card,Grocery shopping done with card bags rewards.,Garv,groceri shop done with card bag rewards.,0,Neutral
161,HDFC Bank Credit Card,"With HDFC card, play golf games free golf courses across country.",Gagan,"with hdfc card, play golf game free golf cours across country.",0,Neutral
162,HDFC Bank Credit Card,Food ordering with Zomato brings rewards with this card.,Zoya,food order with zomato bring reward with thi card.,0,Neutral
163,HDFC Bank Credit Card,There emergency medical expense cover applicable with card.,Ashraf,there emerg medic expens cover applic with card.,0,Neutral
164,HDFC Bank Credit Card,Dining cheaper with card. with card.,Charu,dine cheaper with card. with card.,0,Neutral
165,HDFC Bank Credit Card,This card brought credit liability cover lac.,Kartik,thi card brought credit liabil cover lac.,0,Neutral
166,HDFC Bank Credit Card,There travel insurance cover baggage delay with card.,Tashu,there travel insur cover baggag delay with card.,0,Neutral
167,HDFC Bank Credit Card,Glad receiving rewards Amazon portal with card.,Ramya,glad receiv reward amazon portal with card.,0.5,Positive
168,HDFC Bank Credit Card,"joining only 10,000. less when compared with benefits.",Janvi,"join onli 10,000. less when compar with benefits.",-0.166666667,Neutral
169,HDFC Bank Credit Card,There courier service assistance offered HDFC their concierge facility.,Kanika,there courier servic assist offer hdfc their concierg facility.,0,Neutral
170,HDFC Bank Credit Card,Super happy receiving rewards with HDFC Card when shopped Snapdeal.,Sanjeeda,super happi receiv reward with hdfc card when shop snapdeal.,0.333333333,Positive
171,HDFC Bank Credit Card,HDFC partner restaurants with card.,Dikshi,hdfc partner restaur with card.,0,Neutral
172,HDFC Bank Credit Card,happy with travel protection benefits that with card.,Suman,happi with travel protect benefit that with card.,0,Neutral
173,HDFC Bank Credit Card,"Happy that with card, rewards shopping done Basket.",Harpreet,"happi that with card, reward shop done basket.",0,Neutral
174,HDFC Bank Credit Card,Golf Course Referral Reservation done advance Concierge service.,Garima,golf cours referr reserv done advanc concierg service.,0,Neutral
175,HDFC Bank Credit Card,This credit card fetches rewards shopping done Kalyan jewelers.,Rishi,thi credit card fetch reward shop done kalyan jewelers.,0,Neutral
176,HDFC Bank Credit Card,Help different business services also availed with concierge assistance offered HDFC>,Bhavik,help differ busi servic also avail with concierg assist offer hdfc>,0,Neutral
177,HDFC Bank Credit Card,"airline hotel reservations, assistance from HDFC Concierge benefits.",Akshat,"airlin hotel reservations, assist from hdfc concierg benefits.",0,Neutral
178,HDFC Bank Credit Card,This credit card bags rewards spending done Zomato.,Zoravar,thi credit card bag reward spend done zomato.,0,Neutral
179,HDFC Bank Credit Card,easy Rental Limousine service HDFC Concierge assistance.,Kamya,easi rental limousin servic hdfc concierg assistance.,0,Neutral
180,HDFC Bank Credit Card,There facility easy flower gift delivery available with HDFC card.,Farida,there facil easi flower gift deliveri avail with hdfc card.,0,Neutral
181,HDFC Bank Credit Card,"With partner program HDFC, getting rewards movie bookings done with this card.",Pavitra,"with partner program hdfc, get reward movi book done with thi card.",0,Neutral
182,HDFC Bank Credit Card,Satisfied with Dining Referral Reservation availed Concierge service HDFC.,Suman,satisfi with dine referr reserv avail concierg servic hdfc.,0,Neutral
183,HDFC Bank Credit Card,kind benefits rewards with this card simply best!,Sarika,kind benefit reward with thi card simpli best!,0.8,Positive
184,HDFC Bank Credit Card,"spending done Flipkart, rewards with this card.",Kian,"spend done flipkart, reward with thi card.",0,Neutral
185,HDFC Bank Credit Card,getting lifestyle rewards with this card. This best!,Lima,get lifestyl reward with thi card. thi best!,1,Positive
186,HDFC Bank Credit Card,Absolutely cherish vivid variety dining privileges this card.,Chaman,absolut cherish vivid varieti dine privileg thi card.,0.125,Neutral
187,HDFC Bank Credit Card,This card brings plethora travel dining lifestyle privileges.,Jigar,thi card bring plethora travel dine lifestyl privileges.,0,Neutral
188,HDFC Bank Credit Card,happy with fine variety benefits coming with card.,Savita,happi with fine varieti benefit come with card.,0.416666667,Positive
189,HDFC Bank Credit Card,Relieved saving much more ever since switched this card.,Kiara,reliev save much more ever sinc switch thi card.,0.2,Neutral
190,HDFC Bank Credit Card,This internationally accepted card. perfect!,Sophia,thi intern accept card. perfect!,1,Positive
191,HDFC Bank Credit Card,Happy have been receiving many offers privileges with this card.,Hans,happi have been receiv mani offer privileg with thi card.,0,Neutral
192,HDFC Bank Credit Card,This perfect cost card with multitude benefits.,Kishan,thi perfect cost card with multitud benefits.,1,Positive
193,HDFC Bank Credit Card,totally enjoying association with HDFC over this card.,Ekta,total enjoy associ with hdfc over thi card.,0.2,Neutral
194,HDFC Bank Credit Card,This perfect card with perfect benefits. Love,Pankaj,thi perfect card with perfect benefits. love,0.833333333,Positive
195,HDFC Bank Credit Card,absolutely cherish this credit card multitude benefits brings way.,Pari,absolut cherish thi credit card multitud benefit bring way.,0,Neutral
