,bank_name,reviews,card_category,word_count,char_count,avg_word,stopwords,sentiment,topic,score
29,State Bank of India Credit Card,it 2 year using simply save perfect good benefit,reward,24,115,3.833333333,10,0.57,card,0.98186779
30,American Express Credit Card,this perfect lifestyle bag fascinating benefit,lifestyle,11,70,5.454545455,4,0.85,benefit,0.995329678
31,Citibank Credit Card,glad could easily redeem number option,reward,15,76,4.133333333,6,0.47,credit,0.924404263
32,ICICI Bank Credit Card,there three different variety available opted travel one,reward,15,89,5,5,0.2,reward,0.962652385
33,State Bank of India Credit Card,waived surcharge fee it best bank ever,fuel,13,63,3.923076923,4,1,fuel,0.990378857
34,ICICI Bank Credit Card,bear cost this got 1 waiver cost,fuel,20,86,3.35,9,0,card,0.994758189
35,State Bank of India Credit Card,this simply save brings 10x grocery,reward,12,70,4.916666667,2,0,card,0.989643574
36,HDFC Bank Credit Card,hdfc bank offered diner club using 3 month annual charge rs600 fee waiver this bank offered limit r 140l getting statement soft copy when ever getting alert message,shopping,62,317,4.129032258,26,0.1,credit,0.994967937
37,State Bank of India Credit Card,spending inr 500 first 45 day fetched activation bonus 350,reward,17,87,4.176470588,6,0.25,benefit,0.991033971
38,ICICI Bank Credit Card,using icici bank platinum 5 year given good r 2l this life time free mostly use grocery filling converted big bazaar emi facility giving good service,fuel,61,311,4.254237288,22,0.46,credit,0.994273663
39,State Bank of India Credit Card,when annual spending 4 lac got bonus,reward,14,71,4.142857143,4,0,reward,0.981776655
40,State Bank of India Credit Card,redeemed made use getting gift catalogue,reward,21,110,4.285714286,10,0,benefit,0.943105638
41,State Bank of India Credit Card,happy satiated saved good degree form cashbacks benefit,cashback,22,113,4.181818182,10,0.75,card,0.970615685
42,State Bank of India Credit Card,the grocery get 5x,shopping,12,62,4.25,4,0,benefit,0.990672588
43,State Bank of India Credit Card,like phenomenal variety benefit,reward,11,65,5,5,0.5,card,0.989332676
44,State Bank of India Credit Card,recommend anyone everyone struggling high cost,fuel,14,80,4.785714286,4,0.16,fuel,0.991398931
45,ICICI Bank Credit Card,from icici bank amazon pay in 5 cashback amazon website amazon 1 cashback website here 1 equal r 1 using almost 2 year connecting call centre people quite tough,cashback,64,326,4.109375,25,-0.19,credit,0.990426183
46,Citibank Credit Card,using citi bank 78 year this life time free limit sufficient benefit convert cash back mostly using travel more,shopping,47,249,4.319148936,16,0.35,card,0.988828659
47,State Bank of India Credit Card,annual fee chargeable 2999 rupee waiver option spend one lakh within year received call time process smooth charged protection plan intimated earlier amount deducted amount 2199 rupee the limit low initial told around 1l received 75k use emi conversion applicable,shopping,81,434,4.37037037,33,0.1,card,0.986691117
48,HSBC Bank Credit Card,so happy receiving 3x spending done dining out,reward,15,74,4,6,0.8,benefit,0.982030511
49,Citibank Credit Card,redeemed got free gift voucher lifestyle brand,reward,15,79,4.333333333,5,0.4,benefit,0.964002848
50,State Bank of India Credit Card,accumulated later used catalog,reward,18,99,4.555555556,8,0,reward,0.949306548
51,State Bank of India Credit Card,using three month offer used online surcharge groceriesthe limit sufficient like life time free good use,reward,61,310,4.098360656,29,0.55,credit,0.994285047
52,Citibank Credit Card,using citi bank past 25 year got along salary account this life time free customer service response good using purpose getting movie ticket friday,reward,53,264,4,19,0.28,credit,0.99143976
53,HDFC Bank Credit Card,could easily redeem singapore airline kris flyer,reward,13,79,5.153846154,3,0.43,reward,0.987606168
54,State Bank of India Credit Card,used hush puppy voucher got welcome gift new pair shoe,shopping,20,97,3.9,8,0.47,reward,0.984365284
55,State Bank of India Credit Card,got limit 127l holding 5 month applied online preferred emi conversion it simply save only drawback customer service reachable whenever contact them received 2 week verification done they good service used far got 1215 already redeemed according good family member,shopping,92,484,4.366666667,33,0.3,credit,0.986750484
56,State Bank of India Credit Card,happy bringing way,reward,15,71,3.8,8,0.8,reward,0.992195368
57,HDFC Bank Credit Card,the validity period earned 2 year date accumulation,reward,19,105,4.578947368,7,0,credit,0.985862553
58,State Bank of India Credit Card,per inr 100 spent dining 10,reward,14,67,3.857142857,3,-0.1,card,0.98905611
59,HSBC Bank Credit Card,super happy hsbc let redeem gift voucher,reward,12,65,4.5,4,0.57,benefit,0.953189373
60,HDFC Bank Credit Card,hdfc bank offered titanium time using 3 yearsthere annual fee given good limit using getting point emi facility available getting statement email,reward,55,297,4.418181818,23,0.55,credit,0.992149651
61,State Bank of India Credit Card,since 2 year using pay rs350 annual fee never waiver option this bank excellent customer service app good limit fine got r 1l based transaction got loan offer using purpose buying home appliance,fuel,70,349,4.117647059,25,0.71,credit,0.979138553
62,State Bank of India Credit Card,saved good form,reward,11,51,3.727272727,5,0.7,credit,0.993557394
63,American Express Credit Card,so content association amex it always rewarding,reward,13,74,4.769230769,6,0.5,benefit,0.948364615
64,HSBC Bank Credit Card,online offline extremely convenient,shopping,10,67,5.8,4,-0.13,card,0.993617237
65,State Bank of India Credit Card,cannot complain vast degree benefit brought way,reward,19,105,4.578947368,9,0,card,0.988252699
66,State Bank of India Credit Card,on every 125 inr spend irctc point,reward,16,71,3.5,4,0,reward,0.984790623
67,State Bank of India Credit Card,1 point every inr 125 spent,reward,13,57,3.461538462,3,-0.1,card,0.979248226
68,American Express Credit Card,this multiple redemption option love it,reward,9,60,5.777777778,1,0.25,card,0.988192439
69,State Bank of India Credit Card,made use accrued getting refill bpcl,fuel,14,73,4.285714286,5,0,fuel,0.974785805
70,State Bank of India Credit Card,taken almost 5 year ago simply save in im getting got bulk convert money benefit interest rate also compared card low make bill payment cardsemi conversion facility also available,reward,67,358,4.358208955,25,0.13,benefit,0.998241127
71,State Bank of India Credit Card,love incredible benefit offer simplicity availed,reward,12,82,5.916666667,4,0.7,card,0.982794285
72,State Bank of India Credit Card,redeemed got nice backpack mom,reward,13,63,3.923076923,5,0.6,reward,0.972059786
73,Citibank Credit Card,good ffp mile spending done frequent flyer program ffp,reward,16,89,4.625,4,0.4,benefit,0.994562089
74,State Bank of India Credit Card,this perfect travel fine choice deal,reward,14,70,4.071428571,6,0.71,card,0.990855932
75,HSBC Bank Credit Card,got 100 surcharge waiver transaction done,fuel,14,73,4.285714286,5,0,fuel,0.988578379
76,Citibank Credit Card,instantly redeem web portal yatracom,reward,16,87,4.5,6,0,benefit,0.962301373
77,State Bank of India Credit Card,offered good limit annual charge sure documentation simple uploaded onine received within 5 day this simply save simply save convert cash back mostly using purpose,shopping,59,311,4.288135593,25,0.24,credit,0.989951968
78,ICICI Bank Credit Card,on domestic spending 2 per 100 inr mastercard icici,reward,17,89,4.294117647,3,0,reward,0.985948443
79,State Bank of India Credit Card,this premium come extensive variety offer it best one ever seen,reward,26,129,4,11,0.5,card,0.992691457
80,Citibank Credit Card,the system far best,reward,12,57,3.833333333,5,0.55,credit,0.989246249
81,State Bank of India Credit Card,on every inr 100 spend item pertaining dining movie 10,shopping,23,117,4.130434783,6,0,reward,0.975026608
82,State Bank of India Credit Card,got surcharge waiver refill done simply save,fuel,15,76,4.133333333,5,0,fuel,0.991708815
83,State Bank of India Credit Card,amazed impressive scheme cashbacks milestone offered,cashback,14,90,5.5,5,1,offer,0.959248126
84,State Bank of India Credit Card,be departmental store grocery movie even dining elite getting 5x,reward,22,118,4.409090909,8,0,benefit,0.992047787
85,State Bank of India Credit Card,pretty satiated good range dining grocery departmental store coming way,reward,20,119,5,7,0.48,card,0.987572908
86,State Bank of India Credit Card,it week since using withdrew cash got cashback inr 100,cashback,25,110,3.44,12,0,card,0.974130809
87,HDFC Bank Credit Card,hdfc diner black loaded unparalleled benefit feature travel lifestyle protection best industry redemption,reward,24,159,5.666666667,8,0.42,credit,0.988745213
88,HDFC Bank Credit Card,using hdfc bank offered bankthis life time free this platinum limit 50000 sufficient there benefit wherein cash back offer using past 2 year ad service smooth satisfied,fuel,67,317,4.114754098,22,0.21,credit,0.996679842
89,Standard Chartered Bank Credit Card,glad got 10000 inr cashback mmt payment joining fee,cashback,18,82,3.611111111,7,0.5,benefit,0.991606712
90,State Bank of India Credit Card,though say irctc definitely offer deal item like dining golfing movie,shopping,17,106,5.294117647,5,0,offer,0.927607954
91,ICICI Bank Credit Card,travel voucher worth 5000 inr,shopping,12,65,4.5,3,0.3,card,0.991709769
92,Citibank Credit Card,like fine variety benefit,reward,14,70,4.071428571,6,0.42,card,0.986611426
93,American Express Credit Card,this perfect every sense low cost extremely rewarding,reward,12,70,4.916666667,3,0.5,reward,0.994440198
94,State Bank of India Credit Card,on utility bill enjoy saving 5x every 100 inr spent,reward,17,81,3.823529412,5,0.15,benefit,0.976791024
95,HSBC Bank Credit Card,for redemption inr 50 charged me,reward,13,67,4.230769231,6,0,card,0.935306728
96,State Bank of India Credit Card,like fascinating low cost huge array,reward,14,72,4.214285714,6,0.37,card,0.994125724
97,State Bank of India Credit Card,love rewarding perfect is recommended,reward,10,61,5.2,3,0.67,reward,0.998082101
98,State Bank of India Credit Card,redeemed outstanding bill best,reward,15,81,4.466666667,6,0.75,credit,0.976076066
99,State Bank of India Credit Card,redeemed catalogue,reward,12,69,4.833333333,5,0,reward,0.961003482
100,State Bank of India Credit Card,on every 100 inr spent birthday 20,reward,15,72,3.866666667,3,-0.1,card,0.981003523
101,Citibank Credit Card,this perfect fetch incredibly fascinating flight hotel booking,reward,18,114,5.388888889,7,0.85,credit,0.990505517
102,State Bank of India Credit Card,only could make rewarding on spending 5x,reward,17,89,4.294117647,4,0.25,spending,0.984785259
103,American Express Credit Card,happy variety alternative amex provides redemption,reward,15,92,5.2,8,0.8,benefit,0.892755508
104,State Bank of India Credit Card,when used online got discount 15,shopping,15,69,3.666666667,4,0,card,0.976560116
105,American Express Credit Card,love could redeem payment utility bill,reward,14,74,4.357142857,5,0.5,benefit,0.96178335
106,State Bank of India Credit Card,getting 13x purchase done bpcl,reward,12,62,4.25,4,0,fuel,0.987452924
107,Citibank Credit Card,the citi bank premier mile fetch,shopping,15,82,4.533333333,5,0,reward,0.995268285
108,State Bank of India Credit Card,offered tata using 1 year this free given sufficient limit rs50000 using purpose mostly emi option available bank good app service good getting discount tata product like star bazaar croma applied channel,shopping,75,395,4.28,35,0.54,credit,0.996880054
109,State Bank of India Credit Card,redeemed catalogue,shopping,12,69,4.833333333,5,0,reward,0.961003482
110,HDFC Bank Credit Card,the expire 2 year date,reward,11,56,4.181818182,5,0,card,0.94053036
111,State Bank of India Credit Card,it 7 month using simply save cant believe benefit cashbacks everything,reward,28,143,4.142857143,11,0,credit,0.962447226
112,HSBC Bank Credit Card,so happy it brings accelerated spending 4 lac,reward,16,85,4.375,6,0.8,benefit,0.986830831
113,State Bank of India Credit Card,my surcharge cost completely waived payment cost elite,fuel,18,95,4.333333333,7,0.1,offer,0.995411932
114,State Bank of India Credit Card,it perfect using since 3 year now great benefit dining movie departmental store,shopping,22,125,4.727272727,6,0.9,card,0.987241149
115,Citibank Credit Card,discount 25 cashback international flight booking done,cashback,16,90,4.6875,6,0,benefit,0.981370032
116,HSBC Bank Credit Card,only reasonable fee inr 50 charged redemption,reward,15,77,4.2,7,0.1,card,0.937432826
117,ICICI Bank Credit Card,known experienced follows india largest programme,reward,14,90,5.5,5,0.8,card,0.990990102
118,State Bank of India Credit Card,used past 2 year going redeem soon,shopping,16,83,4.25,6,-0.25,card,0.933417141
119,HSBC Bank Credit Card,there good way redeem,reward,11,56,4.181818182,5,0.7,card,0.980014741
120,HDFC Bank Credit Card,glad found this perfectly rewarding low cost,reward,17,85,4.058823529,6,0.33,reward,0.995543659
121,State Bank of India Credit Card,like many scheme benefit sand coming way,reward,14,77,4.571428571,5,0.5,card,0.99596256
122,State Bank of India Credit Card,though minimum 2000 inr necessary redemption value amazing,reward,20,112,4.65,9,0.3,card,0.989844322
123,Standard Chartered Bank Credit Card,the welcome bonus brought cashback 10000 inr me,cashback,12,61,4.166666667,4,0.8,benefit,0.987679064
124,HDFC Bank Credit Card,perfectly amazed vivid array benefit applicable,reward,14,84,5.071428571,6,0.56,card,0.979764342
125,American Express Credit Card,happy impressed structure,reward,13,71,4.538461538,6,0.9,credit,0.993837833
126,Standard Chartered Bank Credit Card,pretty satiated cashbacks coming way,reward,16,85,4.375,8,0.25,card,0.988392174
127,American Express Credit Card,got welcome gift 5000,reward,12,60,4.083333333,4,0.8,benefit,0.98454082
128,HSBC Bank Credit Card,could use airmiles making flight booking,reward,10,62,5.3,3,0,benefit,0.984238982
129,State Bank of India Credit Card,love rewarding term cost,fuel,12,58,3.916666667,6,0.5,reward,0.995620072
130,American Express Credit Card,when researching rate found 3 earning rate perfect got bringing rate 7,reward,32,159,4,13,1,reward,0.964574039
131,State Bank of India Credit Card,offered convenience shoppingonline payment balance recharges the good aware limit since check itthe bank send statement timethe service bank goodi satisfied,shopping,57,314,4.607142857,24,0.48,credit,0.998515785
132,ICICI Bank Credit Card,the surcharge cost applicable waived me,fuel,11,59,4.454545455,4,0,offer,0.985589683
133,State Bank of India Credit Card,granted 2000 welcome fee payment,reward,12,64,4.416666667,4,0.8,reward,0.991846681
134,State Bank of India Credit Card,the bank agent called told apply using two month happy limit 39000 expecting limit 1l the offer available would like give suggestion bank give transaction facility like debit have,reward,88,434,3.988505747,41,0.6,credit,0.990881622
135,State Bank of India Credit Card,happy fascinating multitude cashbacks,reward,9,62,6,4,0.75,credit,0.891996503
136,American Express Credit Card,believe great the benefit bountiful,reward,18,91,4.111111111,9,0.8,card,0.987307727
137,State Bank of India Credit Card,it 3 year since using amazing it,reward,17,78,3.647058824,5,0.6,card,0.970473528
138,State Bank of India Credit Card,on almost spending getting 1 point 100 inr spent,reward,20,97,3.9,7,-0.1,card,0.978966713
139,Citibank Credit Card,holding citi past 4 year applied bank the limit sufficient initial given 1l increased 150l cash limit 10k emi conversion applicable if use 30k year need pay annual fee charge 500 rupee use online transaction ever offer providing good it,reward,82,407,4.126582278,28,0.15,card,0.977793932
140,State Bank of India Credit Card,redeemed welcome getting refill bpcl petrol pump,fuel,15,80,4.4,5,0.8,fuel,0.982049286
141,State Bank of India Credit Card,departmental store fetch 5x,shopping,10,64,5.5,3,0,spending,0.955786705
142,State Bank of India Credit Card,applied bharath petrol directly bank mostly use surcharge waiver getting 5 discount online actually app pretty good making payment app only last 3 month ago increased limit r 160l,fuel,60,328,4.559322034,22,0.22,fuel,0.997515142
143,American Express Credit Card,the kind make every expense worth it,reward,16,75,3.75,5,0.45,benefit,0.980294347
144,HSBC Bank Credit Card,when spending inr 10000 first 3 month issue got 10 cashback,cashback,24,108,3.541666667,9,0.25,spending,0.985387385
145,Citibank Credit Card,the limit le citi since holding existing good limit one lakh but given 70k the cash limit le 20k from bank account transfer amount take 2 time amount it life time free use recharge grocery,fuel,74,349,3.928571429,26,0.55,credit,0.979329288
146,HDFC Bank Credit Card,using hdfc 3 year got offer direct bank it life time free limit 28k raised 61k enhanced thrice gst charge high applicable transaction emi conversion applicable nominal charge use cash back benefit,reward,73,373,4.23943662,27,0.17,offer,0.99013257
147,State Bank of India Credit Card,applied got within two week delivered time the pin generation easy got limit 42000 only a using week check pointsthe charge quite high 2199the bank inform paid 6000 rupee voucher 3000 receive voucher yet,reward,85,397,3.817073171,36,0.2,credit,0.981637657
148,HSBC Bank Credit Card,super glad fine mix cashbacks milestone bonus coming way,cashback,19,108,4.736842105,8,0.42,card,0.983259201
149,State Bank of India Credit Card,pretty happy scheme cashbacks getting,cashback,18,95,4.333333333,9,0.53,card,0.981882751
150,State Bank of India Credit Card,able accumulate accelerated pace go,reward,20,99,4,10,0.5,credit,0.994771123
151,HSBC Bank Credit Card,the waiver excellent benefit hsbc,fuel,11,58,4.363636364,4,1,benefit,0.998474061
152,HDFC Bank Credit Card,if customer account hdfc easy login account time need login mobile app access applied via online holding past 8 month it annual fee chargeable 500 rupee there waiver option spend 50k within year the limit 1l use online purchase based usage cash back it money back,fuel,96,440,3.965517241,30,0.05,fuel,0.988275468
153,American Express Credit Card,on jet airway american express platinum amazing travel,reward,14,88,5.357142857,1,0.3,offer,0.994520545
154,State Bank of India Credit Card,there small fee redemption 99 inr,reward,15,71,3.8,8,-0.25,card,0.927961886
155,State Bank of India Credit Card,offered annual fee chargeable 500 rupee waiver option once applied via online got call time process done smooth then received 1 month the limit low 33k expecting 50k emi conversion applicable use online cash back,reward,75,372,4.082191781,26,0.13,card,0.985331953
156,ICICI Bank Credit Card,using icici bank platinum 5 year given good r 2l this life time free mostly use grocery filling converted big bazaar emi facility giving good service,shopping,61,311,4.254237288,22,0.46,credit,0.994273663
157,State Bank of India Credit Card,it 6 month using elite this high value rewardbased love it,reward,20,98,3.95,6,0.33,card,0.976568103
158,HSBC Bank Credit Card,the system hsbc pretty satiating like it,reward,11,59,4.454545455,3,0.25,reward,0.967239141
159,State Bank of India Credit Card,only reasonable fee inr 99 paid redeeming accumulated,reward,20,105,4.3,9,0.23,card,0.988931835
160,State Bank of India Credit Card,on first cash withdrawal got inr 100 cashback,cashback,11,55,4.090909091,2,0.25,reward,0.992751718
161,American Express Credit Card,enjoying humongous range milestone bonus membership,reward,15,92,5.2,5,0.5,card,0.986568809
162,American Express Credit Card,on online done got 15 off,shopping,12,58,3.916666667,3,0,card,0.987208843
163,Standard Chartered Bank Credit Card,there fine lifestyle benefit applicable scb,lifestyle,11,67,5.181818182,3,0.42,credit,0.982308745
164,Citibank Credit Card,this since 2007 holding citi bank much benefit like discount more redeemed indian oil petrol free given sufficient limit r 3l emi option available mostly using purpose quarterly getting airport lounge access 2 domestic 1 international,shopping,79,420,4.56,27,0.29,credit,0.989826858
165,State Bank of India Credit Card,honestly got know fine variety elite simply opted it,reward,22,107,3.909090909,8,0.34,card,0.954052091
166,State Bank of India Credit Card,chosen since got offerthe limit good chargeable movie benefit well offer discount usefulthere difficulty faced far using,shopping,53,282,4.6,23,0.4,credit,0.989160717
167,Citibank Credit Card,happy overall saving amplified,fuel,11,64,4.909090909,5,0.4,card,0.993958592
168,Standard Chartered Bank Credit Card,like brings multitude offer cashbacks way,cashback,18,93,4.222222222,8,0,credit,0.985566139
169,State Bank of India Credit Card,offer redeem yet domestic limit 50000 much satisfied per need got statement time used personal purposesthe user friendly,reward,54,277,4.148148148,23,0.22,credit,0.994564056
170,State Bank of India Credit Card,pretty happy decent scheme fine variety benefit getting,reward,20,107,4.4,9,0.41,benefit,0.900774658
171,State Bank of India Credit Card,no offer vast multitude deal offer cashbacks,cashback,13,75,4.846153846,4,0,credit,0.967848241
172,HSBC Bank Credit Card,super happy getting every spending,reward,14,72,4.214285714,6,0.57,spending,0.974588931
173,State Bank of India Credit Card,using since 2019 like travel benefit lot rate unsatisfactory with high annual fee expected offer decent the customer care service also good overall good,reward,52,285,4.5,18,0.27,credit,0.992374539
174,State Bank of India Credit Card,just gotten complete rewarding one,reward,14,77,4.571428571,8,0.3,reward,0.989254713
175,ICICI Bank Credit Card,opted converting cash getting statement,reward,14,79,4.714285714,5,0,credit,0.978664219
176,American Express Credit Card,the best apart redeem 500 outlet merchant,reward,17,87,4.176470588,7,1,benefit,0.932637274
177,State Bank of India Credit Card,the joining fee pay 4999 though slightly higher side make worth price,reward,27,132,3.925925926,11,0.28,card,0.989587784
178,State Bank of India Credit Card,this low cost fine number benefit,reward,14,67,3.857142857,6,0.21,card,0.992074728
179,ICICI Bank Credit Card,the limit provided icici bank sufficient use it one year holding they provided annual fee chargeable 4k given option wavier need spend 3k monthly swipe purpose got,shopping,60,309,4.237288136,23,0,credit,0.991147339
180,State Bank of India Credit Card,this perfect numerous saving,fuel,9,51,4.777777778,3,0.5,benefit,0.992069423
181,State Bank of India Credit Card,come cheaper since surcharge cost waived,fuel,15,79,4.333333333,7,0,benefit,0.991811097
182,State Bank of India Credit Card,pretty content benefit,reward,15,76,4.133333333,8,0.25,card,0.991981864
183,ICICI Bank Credit Card,every point equivalent 025 inr perfect scheme,reward,10,62,5.3,2,1,reward,0.929499567
184,State Bank of India Credit Card,used accrued gift catalogue,shopping,19,98,4.210526316,9,0,spending,0.975442767
185,State Bank of India Credit Card,the reason always liked fascinating variety deal value back offer offer,reward,24,133,4.583333333,10,0.43,reward,0.865075171
186,HSBC Bank Credit Card,got discount 10 done flipkart,shopping,12,58,3.916666667,5,0,offer,0.976519525
187,State Bank of India Credit Card,the catalogue amazing it brings fine variety benefit,reward,17,92,4.470588235,6,0.51,reward,0.86179924
188,State Bank of India Credit Card,this fetch good birthday benefit so spending 100 inr 20,reward,19,99,4.263157895,4,0.7,benefit,0.996895313
189,State Bank of India Credit Card,whenever make departmental store 5x,reward,13,74,4.769230769,3,0,benefit,0.985751331
190,ICICI Bank Credit Card,now save cost since bear surcharge element petrol cost,fuel,20,95,3.8,8,0,benefit,0.995061159
191,State Bank of India Credit Card,used getting statement,reward,15,76,4.133333333,7,0,credit,0.995859623
192,Citibank Credit Card,this excellent given citi bank doubtful getting limit sufficient given 100 satisfied limit using online bill payment annual charge applicable,shopping,51,270,4.583333333,19,0.23,offer,0.993109703
193,HSBC Bank Credit Card,applied hsbc bank online holding 6 month basically free happy limit the dint check thing also 10 discount grocery buy 11 movie ticket free much benefit,reward,61,313,4.147540984,25,0.45,credit,0.994770527
194,ICICI Bank Credit Card,recommend anyone need complete rewarding experience,reward,16,99,5.25,7,0.3,credit,0.983061194
195,Citibank Credit Card,there issue going citi bank indian oil platinum if purchase indian oil bunk able make transaction if purchase r 30k year option zero annual fee limit service good,fuel,52,261,4.117647059,18,0.6,fuel,0.961738765
196,Citibank Credit Card,super satiated fine mix benefit,reward,17,87,4.176470588,8,0.38,card,0.987310469
197,Citibank Credit Card,not redeem also redeem merchant outlet,fuel,19,99,4.263157895,9,0,fuel,0.954168975
198,HSBC Bank Credit Card,on every spending done limit 4 lac year 10,reward,21,94,3.523809524,7,0,reward,0.980950236
199,ICICI Bank Credit Card,the benefit program far best,reward,15,76,4.133333333,7,0.55,credit,0.981911421
200,Standard Chartered Bank Credit Card,like brings multitude offer cashbacks way,reward,18,93,4.222222222,8,0,credit,0.985566139
201,State Bank of India Credit Card,used accumulated bag mom,reward,13,68,4.307692308,6,0,spending,0.980026841
202,State Bank of India Credit Card,the benefit saving providing best,fuel,14,74,4.357142857,7,1,offer,0.986220181
203,State Bank of India Credit Card,plan good chosen they said sur charge waiver use buying petrol r 500 in irctc website book ticket give cashbacks protection plan replacement immediately lost they gave limit r 31000 annual fee r 499 gst charge waiver option would fine,cashback,91,448,3.934065934,41,0.56,fuel,0.99066025
204,HDFC Bank Credit Card,on payment annual fee welcome,reward,12,61,4.166666667,3,0.8,reward,0.992034435
205,State Bank of India Credit Card,425 value back payment done bpcl,fuel,14,68,3.928571429,4,0,fuel,0.990549266
206,HSBC Bank Credit Card,on spending 10k done first 3 month cashback 10,cashback,21,93,3.476190476,9,0.25,benefit,0.9889189
207,American Express Credit Card,this fetch welcome worth inr 4000,reward,10,59,5,1,0.55,credit,0.995934904
208,State Bank of India Credit Card,insanely happy simply save bring array benefit,reward,19,99,4.263157895,8,0.4,benefit,0.967918992
209,Citibank Credit Card,used citi bank much it mostly used chosen since got offer limit le rs50000 paying bill online getting otp transaction faced issue using,shopping,68,329,4.030769231,29,0.5,credit,0.973545909
210,American Express Credit Card,the earn rate amex superior card there,reward,16,79,4,7,0.7,card,0.98437345
211,American Express Credit Card,think rewarding scheme elsewhere this perfectly balanced,reward,17,102,5.058823529,7,0.75,credit,0.988108754
212,State Bank of India Credit Card,with 13x transaction,reward,12,63,4.333333333,3,0,fuel,0.993841946
213,Citibank Credit Card,looking major spending great pick,fuel,11,56,4.181818182,5,0.43,fuel,0.997161508
214,Citibank Credit Card,redeemed accrued making hotel airline booking yatracom,reward,13,86,5.692307692,4,0,benefit,0.974012673
215,Citibank Credit Card,made mmt booking using accrued,reward,12,64,4.416666667,4,0,card,0.97864455
216,HSBC Bank Credit Card,on every 150 inr spent regular item 2,reward,13,63,3.923076923,1,-0.05,benefit,0.979204357
217,State Bank of India Credit Card,glad saved 5 cost bpcl,fuel,16,65,3.125,6,0.5,fuel,0.987045646
218,State Bank of India Credit Card,cost cheaper since 1 surcharge value waived off,fuel,14,74,4.357142857,5,0,fuel,0.993712068
