ttext,date,isretweet,retweetcount,favoritecount,score,product,region,country,duplicate
@TheOfficialSBI @RBI People are getting hospitalised in such COVID situation &amp; you people are showing policies to c  ,19-01-2022 08:41,FALSE,0,0,0,SBI,Kolkata,India,FALSE
@SBICard_Connect My wife applied for SBI credit card and the customer care executives are harrassing us. They are r  ,19-01-2022 09:00,FALSE,0,0,0,SBI,Bangalore,India,FALSE
@SBICard_Connect you can't send a BILL REMINDER popup for LAKHS  billed in December and then in message clarify it  ,19-01-2022 09:42,FALSE,0,0,0,SBI,Mumbai,India,FALSE
"@HDFC_Bank @HDFCLIFE Is there a way I can stop getting daily 5-6 calls for personal loan, credit card loan, insuran  ",19-01-2022 10:05,FALSE,0,0,0,hdfc,Bangalore,India,FALSE
"@HDFC_Bank hi, this is Dr Pritam Kumar chatterjee. Has applied for regalia credit card online 2months ago. Uploaded  ",19-01-2022 10:24,FALSE,0,0,0,hdfc,Kolkata,India,FALSE
"@HDFCBank_Cares 
Is there any offers running to get lifetime free credit card from HDFC on card to card basis. If y  ",19-01-2022 10:30,FALSE,0,0,1,hdfc,Bangalore,India,FALSE
"Even as monthly spends rise, customers are being cautious about their credit card usage or availing multiple financ  ",19-01-2022 11:00,FALSE,0,5,0,hdfc,Mumbai,India,FALSE
@HDFCBank_Cares @HDFC_Bank  too much calls for credit card and loans coming totally getting frustrated,19-01-2022 11:20,FALSE,0,0,-1,hdfc,Kolkata,India,FALSE
@Nicotweeen @HDFC_Bank @HDFCBank_Cares Their IVR is hugely disappointing. Does not recognize valid debit card numbe  ,19-01-2022 11:50,FALSE,0,1,-1,hdfc,Mumbai,India,FALSE
@HDFC_Bank unable to apply for credit card only showing online application already exists but while trying to retri  ,19-01-2022 11:58,FALSE,0,0,-1,hdfc,Kolkata,India,FALSE
"@AdeParimal Sbi cards just keeps on falling. Do you still think it's an opportunity, considering hdfc credit card results?",19-01-2022 11:59,FALSE,0,2,-1,hdfc,Bangalore,India,FALSE
"@AdeParimal Sbi cards just keeps on falling. Do you still think it's an opportunity, considering hdfc credit card results?",19-01-2022 11:59,FALSE,0,2,-1,SBI,Bangalore,India,FALSE
@Uber_Support This is my SBI credit card statement,19-01-2022 12:42,FALSE,0,0,0,SBI,Kolkata,India,FALSE
Last week was spent evaluating a credit card portfolio. Half a dozen cards in use; right from Citi Rewards to HDFC  ,19-01-2022 12:49,FALSE,0,4,1,hdfc,Mumbai,India,FALSE
@SBICard_Connect Very poor costumer support.... making innocent costumers fool I have trying their costumer support  ,19-01-2022 13:07,FALSE,0,0,0,SBI,Delhi,India,TRUE
@SBICard_Connect Very poor costumer support.... making innocent costumers fool I have trying their costumer support  ,19-01-2022 13:08,FALSE,0,0,0,SBI,Delhi,India,FALSE
@SBICard_Connect Very poor costumer support.... making innocent costumers fool I have trying their costumer support  ,19-01-2022 13:08,FALSE,0,0,0,SBI,Delhi,India,TRUE
@HDFCBank_Cares @HDFC_Bank worst credit card department. Asked interest for between days of while pre closure loan.  ,19-01-2022 13:15,FALSE,0,0,-1,hdfc,Mumbai,India,FALSE
@nobrokercom I was to receive a Flipkart voucher for paying rent for 3 consecutive months using the Flipkart Axis B  ,19-01-2022 13:23,FALSE,0,0,0,Axis,Delhi,India,FALSE
@ICICIBank I applied for an ICICI credit card which I haven't received and there also no customer support for this  ,19-01-2022 13:33,TRUE,1,1,1,icici,Delhi,India,FALSE
@ICICIBank_Care  I applied for an ICICI credit card which I haven't received and there also no customer support for  ,19-01-2022 13:33,FALSE,0,0,1,icici,Delhi,India,FALSE
" @flipkartsupport@Flipkart 
I have placed an order of a phone (Realme 8 - 8 GB) yesterday i.e 18/01/2022 at aro  ",19-01-2022 14:21,FALSE,0,0,0,icici,Mumbai,India,FALSE
Amazon Pay ICICI Bank Credit Card Review  ,19-01-2022 14:33,FALSE,0,0,0,icici,Delhi,India,TRUE
@HDFCBank_Cares  I own 6E reward credit card from Hdfc. Whenever I log in through net banking and trying to access  ,19-01-2022 14:45,FALSE,0,0,1,hdfc,Bangalore,India,FALSE
"@AxisBank 
@ask_AXIS

I take credit card and i am not able to generate my pin 

I tried all methods 
And all helpli  ",19-01-2022 15:05,FALSE,0,0,0,Axis,Delhi,India,FALSE
"@ICICIBank @ICICIBank_Care my wife is facing problem in applying for Amazon Pay ICICI credit card. Please help, get  ",19-01-2022 15:19,FALSE,0,0,-1,icici,Delhi,India,FALSE
"MakeMyTrip Credit Card by ICICI Bank 2022: Features, Benefits and Apply  ",19-01-2022 15:44,FALSE,0,0,1,icici,Kolkata,India,FALSE
"@bkpcitypolice Sir, i lodged a FIR in Barrackpore Cyber Crime ps on 12/7/21 titled 22/2021-22, regarding fraudulant  ",19-01-2022 16:17,FALSE,0,0,-1,SBI,Kolkata,India,FALSE
"@Cyberdost Sir, i lodged a FIR in Barrackpore Cyber crime police station, West Bengal, North 24 pgs, titled 22/21-2  ",19-01-2022 16:26,FALSE,0,0,-1,SBI,Kolkata,India,FALSE
"For how many days do I have to wait just to know why my account has been put on hold.
I have no Loan, EMI, I don't  ",19-01-2022 16:28,FALSE,0,0,0,SBI,Mumbai,India,FALSE
"@ICICIBank @ICICIBank_Care Dear ICICI, I have been an old customer of ICICI. Never had any loan defaults or credit  ",19-01-2022 16:40,FALSE,0,0,0,icici,Kolkata,India,FALSE
@AxisBank Got call from @AxisBankSupport regarding flipkart axis credit card as my physical verification failed due  ,19-01-2022 16:45,FALSE,0,0,-1,Axis,Bangalore,India,FALSE
@SBICard_Connect Hi There ! My Name is Vikas Sahani. I applied for SBI Credit Card online 1.5year ago. But when it  ,19-01-2022 17:04,FALSE,0,0,0,SBI,Delhi,India,FALSE
"@HDFC_Bank 

Applied for credit card a month ago. Still application in progress.

Need to know the status.  ",19-01-2022 17:27,FALSE,0,0,0,hdfc,Delhi,India,FALSE
"@HDFC_Bank @HDFCBank_Cares want to stop/cancel my transaction i did via credit card just few minutes back, immediat  ",19-01-2022 19:26,FALSE,0,0,0,hdfc,Delhi,India,FALSE
"I applied for Axis Flipkart Credit Card, but now got message your Axis Neo Credit Card Approved..

But i want axis  ",19-01-2022 19:38,TRUE,1,1,0,Axis,Mumbai,India,FALSE
@HDFC_Bank i had a credit card which i blocked last year . But hdfc sent a new card which is not delivered to me bu  ,19-01-2022 23:21,FALSE,0,0,0,hdfc,Delhi,India,FALSE
@ICICIBank Thankyou Very Much team credit cards ICICI for the settel down of Creadit Card issue.,20-01-2022 00:25,FALSE,0,0,-1,icici,Delhi,India,FALSE
OLA Money SBI Credit Card Review  ,20-01-2022 00:33,FALSE,0,0,0,SBI,Delhi,India,TRUE
"@HDFCBank_Cares @HDFCBank_Cares @RBI  probably you should have never lifted the ban , given such pathetic service of hdfc credit card team .",20-01-2022 02:47,FALSE,0,0,-1,hdfc,Mumbai,India,FALSE
@SBICard_Connect hi.. I am getting calls from past 6 months for paying dues where I do not hold a sbi credit card.  ,20-01-2022 03:57,FALSE,0,0,0,SBI,Bangalore,India,FALSE
"credit card 
Don't take creditcard unknowingly 
hiddencharges 
sbi
sbicard 
hdfc 
hdfccard  ",20-01-2022 04:50,FALSE,0,0,0,hdfc,Bangalore,India,FALSE
"credit card 
Don't take creditcard unknowingly 
hiddencharges 
sbi
sbicard 
hdfc 
hdfccard  ",20-01-2022 04:50,FALSE,0,0,0,SBI,Bangalore,India,FALSE
@AxisBankSupport Can't activate my Axis Bank Credit Card. Plz help,20-01-2022 05:17,FALSE,0,0,0,Axis,Delhi,India,FALSE
"Just launched 

Xiaomi 11T Pro 5G  - Upto 5000 Extra Off on Exchange 

8GB RAM, 128GB :  ",20-01-2022 06:20,FALSE,0,0,0,SBI,Mumbai,India,FALSE
@SBICard_Connect pathetic service from you. Neither I have any sbi credit card with me nor took any loan on any cre  ,20-01-2022 06:42,FALSE,0,0,-1,SBI,Mumbai,India,FALSE
Please don't take axis credit card worst service fraud company not ready to cancel  card  no settlement of dispu  ,20-01-2022 06:49,FALSE,0,1,-1,Axis,Mumbai,India,FALSE
"Axis credit card worst people at call centre no call or email complian solved since 4 to 6 months ticket no 277034536
Kamdar",20-01-2022 06:51,FALSE,0,0,-1,Axis,Mumbai,India,FALSE
@AxisBankSupport I got an axis bank credit card xxxxxx0872 my sirname on card is incorrect. I have been struggling  ,20-01-2022 07:10,FALSE,0,0,-2,Axis,Delhi,India,FALSE
"I have Applied Sbi Credit Card from City center branch Dhanbad.
Name Pawan Kumar Chourasia.

Please help to make ca  ",20-01-2022 07:11,FALSE,0,0,0,SBI,Kolkata,India,FALSE
@HDFC_Bank @HDFCBank_Cares I am unable to get a number through which I can connect to any hdfc credit card executiv  ,20-01-2022 07:18,FALSE,0,0,-1,hdfc,Delhi,India,FALSE
@20Compounder @AxisBank @AxisBankSupport I agree they have not credited flipkart axis credit card Dec  2021 stateme  ,20-01-2022 07:22,FALSE,0,1,0,Axis,Kolkata,India,FALSE
"Without my consent &amp; me applying for credit card  how can a credit card be issued is it a lootmaar by HDFC Bank.
I  ",20-01-2022 07:23,FALSE,0,0,0,hdfc,Mumbai,India,FALSE
The rise of payments products like Buy-Now-Pay-Later have also affected credit card spends when it comes to large-v  ,20-01-2022 07:30,FALSE,0,2,1,hdfc,Mumbai,India,FALSE
"@ICICIBank also, how did U get my number for CC when i have never signed up for it or given info to apply for ICICI  ",20-01-2022 07:30,FALSE,0,0,0,icici,Mumbai,India,FALSE
@HDFC_Bank looting credit card customer not even intimate regarding adjustment of bill amount and fined finance cha  ,20-01-2022 07:37,TRUE,1,0,1,hdfc,Mumbai,India,FALSE
@ICICIBank very bad service nobody will give u reply . Pls do not use ICICI credit card. 20 day before sending req  ,20-01-2022 08:07,FALSE,0,0,-1,icici,Mumbai,India,FALSE
My ICICI Bank credit card is not reported to CIBIL from last 2 years. Bank says it's reported. CIBIL says it's repo  ,20-01-2022 08:25,FALSE,0,0,0,icici,Bangalore,India,FALSE
@HDFCBank_Cares Im having Hdfc credit card,20-01-2022 08:47,FALSE,0,0,0,hdfc,Mumbai,India,FALSE
"@HDFC_Bank Hi Team, Currently i am facing serious financial issue due to which i am also unable to pay the minimum  ",20-01-2022 09:10,FALSE,0,0,-2,hdfc,Bangalore,India,FALSE
@AxisBank need your help support regarding my credit card limit. Your agents are reiterating info which I already h  ,20-01-2022 09:20,FALSE,0,0,0,Axis,Mumbai,India,FALSE
"@Cyberdost @DoT_India @GoI_MeitY @ICICIBank 
Today at 13:30Hr received call from +91-8130258759,they claimed that t  ",20-01-2022 09:40,FALSE,0,0,0,icici,Mumbai,India,FALSE
"@HDFCBank_Cares @HDFC_Bank hi team I am an old user of hdfc lifetime credit card using since 2019, now it says I ha  ",20-01-2022 09:52,FALSE,0,0,0,hdfc,Bangalore,India,FALSE
@ICICI_Direct really frustrating don't you understand the meaning of no. I responded 20 times that I don't want a c  ,20-01-2022 10:02,FALSE,0,0,-1,icici,Delhi,India,FALSE
"I am getting calls from ICICI BANK asking for Mr. Ashok Dogra for their credit card payment. 
Whereas I am not that  ",20-01-2022 10:17,FALSE,0,0,0,icici,Mumbai,India,FALSE
@AxisBankSupport @AxisBank I have been a victim of online fraud on my axis bank credit card on 19.01.2022. I got re  ,20-01-2022 10:28,FALSE,0,0,-1,Axis,Delhi,India,FALSE
"Dear @HDFC_Bank @HDFCBank_Cares ,
I got a call just now, which debited Rs 50,000 on my HDFC Credit Card.
Please hel  ",20-01-2022 10:38,FALSE,0,0,0,hdfc,Mumbai,India,FALSE
"@HDFC_Bank no one is listening and cut call without intimate, please help poor customer of your credit card.. charg  ",20-01-2022 10:40,FALSE,0,0,0,hdfc,Mumbai,India,FALSE
"@HDFCBank_Cares @HDFC_Bank @HDFCBankNews @HDFCCreditCard 
branch is saying i need to have a salary account with the  ",20-01-2022 10:55,FALSE,0,0,0,hdfc,Delhi,India,FALSE
"@ICICIBank 
I am icici and amazon customer, first time applied for amazon pay icici credit card, and it was success  ",20-01-2022 11:05,FALSE,0,0,1,icici,Delhi,India,FALSE
@SBICard_Connect Dear Sir/Madam..........I have paid all my sbi credit card dues. Kindly issue me a NO DUE CERTIFIC  ,20-01-2022 11:11,FALSE,0,0,0,SBI,Delhi,India,FALSE
@SBICard_Connect  I have been trying to get in touch with your customer support for multiple issues I have been fac  ,20-01-2022 11:33,FALSE,0,0,0,SBI,Delhi,India,FALSE
@SBICard_Connect How to deactivate SBI credit card..? Atleast give information about this..,20-01-2022 11:40,FALSE,0,0,0,SBI,Bangalore,India,FALSE
@SBICard_Connect from yesterday no response.. Atleast give information how to deactivate SBI credit card..? Fed up  ,20-01-2022 11:45,FALSE,0,0,0,SBI,Bangalore,India,FALSE
@AxisBankSupport @RBI i have cancelled my axis Bank credit card due to your useless service. in last hour i called  ,20-01-2022 11:46,FALSE,0,0,-1,Axis,Mumbai,India,FALSE
"@ICICIBank @ICICIBank_Care @RBI @nch14404 @consumerForumCF @PMOIndia Dear ICICI Team, You guys hold my amount Rs.35  ",20-01-2022 11:53,FALSE,0,1,0,icici,Mumbai,India,FALSE
"I DON'T WANT LOAN, CREDIT CARD OR ANY OTHER PRODUCTS.
@HDFC_Bank @AxisBank @ICICIBank @capitalbajaj @tatacapital  ",20-01-2022 11:56,FALSE,0,0,0,hdfc,Mumbai,India,FALSE
@HDFC_Bank i requested for weave of my wrong penalty which was charged by credit card request id is. 22020151638,20-01-2022 12:17,FALSE,0,0,-2,hdfc,Mumbai,India,FALSE
Yo @HDFC_Bank - can you please set up an internal process for tele-callers to see who has been called that day / we  ,20-01-2022 12:28,FALSE,0,0,0,hdfc,Bangalore,India,FALSE
Anybody in my list has SBI Credit Card ( I just need to know final pricing of a product after sbi discount on amazon),20-01-2022 12:39,FALSE,0,0,0,SBI,Delhi,India,FALSE
"@MobiKwik @MobiKwikSWAT Dear Team, few minutes ago I initiated the transaction of INR 9333.30 using axis bank credi  ",20-01-2022 12:48,FALSE,0,1,0,Axis,Delhi,India,FALSE
".@HDFC_Bank 
Hi,
westcuring@hdfc.com
Is this a valid mail address?
I got a call to send a mail to this mail address  ",20-01-2022 12:51,FALSE,0,0,0,hdfc,Mumbai,India,FALSE
+91 73033 35695 the call came from this number.. offering Saphire amazon ICICI credit card which is preapproved on basis my saving account.,20-01-2022 13:05,FALSE,0,0,0,icici,Delhi,India,FALSE
"@flipkartsupport @flipkartsupport @Flipkart 
I'm just eager to get the refund initiated into my ICICI bank credit c  ",20-01-2022 13:36,FALSE,0,0,2,icici,Mumbai,India,FALSE
@SBICard_Connect My wife has ordered to renew a SBI credit card platinum.Still we have not received the card and we  ,20-01-2022 13:51,FALSE,0,0,0,SBI,Kolkata,India,FALSE
"@AxisBankSupport 
Facing issues in getting customer ID of my Flipkart Axis Bank Credit Card. Sending message to 561  ",20-01-2022 14:24,FALSE,0,0,-1,Axis,Kolkata,India,FALSE
@AmazonHelp It's under Amazon sale currently going on. What has that to do with Seller. 10% SBI credit card offer.  ,20-01-2022 14:36,FALSE,0,0,0,SBI,Bangalore,India,FALSE
"Giving credit cards is kids play for Axis bank. I request to turn off my credit c., they did it after 6mnth. But af  ",20-01-2022 14:50,TRUE,1,1,0,Axis,Delhi,India,FALSE
"@ICICIBank_Care @ICICIBank 

I got below message 
Dear Customer Your ICICI Credit Card Points Worth Rs.5854 Will Ex  ",20-01-2022 14:51,FALSE,0,0,1,icici,Bangalore,India,FALSE
@flipkartsupport i have an icici credit card with 9k limit if I pay 9k with icici and remaining with gift card am I  ,20-01-2022 14:53,TRUE,1,1,-1,icici,Bangalore,India,FALSE
(3/n) So this information of Infinia needing 8 Lacs Credit Limit on existing HDFC Credit Card is nothing new. This  ,20-01-2022 15:08,FALSE,0,2,-1,hdfc,Mumbai,India,FALSE
(2/n) By now most of you would be aware that HDFC Credit Card Upgrades work on existing HDFC CC Limit basis as a mi  ,20-01-2022 15:08,FALSE,0,3,0,hdfc,Mumbai,India,FALSE
@AxisBankSupport Holding Burgundy account and Select credit card with you. Still getting sms daily to open Axis ASA  ,20-01-2022 15:49,FALSE,0,0,0,Axis,Delhi,India,FALSE
What the hell you are making fun with customer @Flipkart @flipkartsupport first they are showing you purchase i pho  ,20-01-2022 15:51,TRUE,2,3,0,Axis,Delhi,India,FALSE
What the hell you are making fun with customer @Flipkart @flipkartsupport first they are showing you purchase i pho  ,20-01-2022 15:51,TRUE,3,4,0,Axis,Delhi,India,FALSE
"@SBICard_Connect @TheOfficialSBI 
Received this message on applying for credit card, is it authentic - Thank you fo  ",20-01-2022 17:03,FALSE,0,0,2,SBI,Bangalore,India,FALSE
"@TheOfficialSBI @SBICard_Connect 
Credit card related marketing executive are applying for credit card without even  ",20-01-2022 17:29,FALSE,0,0,0,SBI,Mumbai,India,FALSE
@amazon @AmazonHelp @amazonIN @amazonnews I have not been given 10% discount inspite of using sbi Credit card. Your  ,20-01-2022 17:39,TRUE,1,0,0,SBI,Mumbai,India,FALSE
Dear @HDFC_Bank can you clarify why your team has not taken any action? on my repeated complaints on a Amazon vouch  ,20-01-2022 17:50,TRUE,1,0,0,hdfc,Mumbai,India,FALSE
"@ICICIBank_Care Why transactions of INR 18540 was converted to EMI automatically without my authorisation.
Seems IC  ",20-01-2022 18:30,FALSE,0,0,0,icici,Mumbai,India,FALSE
@SBICard_Connect why I got this email. I have never applied for any such card. Infect I have never applied for any  ,20-01-2022 18:33,FALSE,0,0,0,SBI,Mumbai,India,FALSE
"@ICICIBank_Care WTF is wrong ICICI bank? DND

I registered on the link provided on that day, still getting calls f  ",20-01-2022 18:50,FALSE,0,0,-1,icici,Delhi,India,FALSE
"@HDFC_Bank My HDFC  saving account for last 4 year and current account also 1 year old, but still not any credit ca  ",20-01-2022 19:43,FALSE,0,0,0,hdfc,Mumbai,India,FALSE
I used SBI credit card for payment,20-01-2022 22:04,FALSE,0,0,0,SBI,Delhi,India,FALSE
"@AxisBankSupport  whenyouremployeeMananGoyalcalledme,IappliedfortheAxisCreditCard.
It'sbeentendays,  ",20-01-2022 22:10,TRUE,1,1,0,Axis,Mumbai,India,FALSE
@AxisBank @AxisBankSupport having issue in Flipkart axis Bank credit card.I have applied for credit card on 11/01/2  ,21-01-2022 02:24,FALSE,0,0,-1,Axis,Mumbai,India,FALSE
"Hdfc millennia credit card full review video uploaded
 ",21-01-2022 03:05,FALSE,0,0,0,hdfc,Delhi,India,FALSE
"@ICICIBank_Care , Dear ICICI bank , I want to bring wrong ethics followed by your credit card dept. I have credit l  ",21-01-2022 03:13,FALSE,0,0,-1,icici,Delhi,India,FALSE
"@HDFCBank_Cares 
You idiots are forcing customer to visit bank without any specific reason. I have credit balance i  ",21-01-2022 03:19,FALSE,0,0,-1,hdfc,Mumbai,India,FALSE
"@ICICIBank @ICICIBank_Care @RBI 
Hello @ICICIBank
My Realtionship manager had requested me to take icici credit car  ",21-01-2022 03:31,FALSE,0,0,0,icici,Mumbai,India,FALSE
@amazonIN screwed up my plans for getting a new phone during the Republic Day sale. I was not aware that the 2000rs  ,21-01-2022 03:48,FALSE,0,0,-1,SBI,Delhi,India,FALSE
"@ICICIBank_Care I will not use this icici credit card till issue resolved, I m not happy with the service, will use hdfc regalia till then..",21-01-2022 03:56,FALSE,0,0,0,hdfc,Delhi,India,FALSE
"@ICICIBank_Care I will not use this icici credit card till issue resolved, I m not happy with the service, will use hdfc regalia till then..",21-01-2022 03:56,FALSE,0,0,0,icici,Delhi,India,FALSE
"@SBICard_Connect @TheOfficialSBI @RBI 
Very fake business &amp; worst service by sbi card.For closing credit card no re  ",21-01-2022 04:35,FALSE,0,0,-2,SBI,Delhi,India,FALSE
"@SBICard_Connect @RBI
Hi Team, I have requested to close my SBI credit card within 20 days after receiving the card  ",21-01-2022 04:35,FALSE,0,0,0,SBI,Delhi,India,FALSE
"@AxisBank Pathetic customer care service. Wants to close my axis credit card, but your customer care had wasted my  ",21-01-2022 06:18,FALSE,0,0,-2,Axis,Delhi,India,FALSE
@HDFC_Bank @HDFCBank_Cares I had applied for reissue of my credit card. It has been dispatched to my old address in  ,21-01-2022 06:18,FALSE,0,0,0,hdfc,Delhi,India,FALSE
@amazonpay @ICICIBank  i have got Amazon pay ICICI credit card but not able to generate my pin and neither unable t  ,21-01-2022 06:20,FALSE,0,0,-1,icici,Delhi,India,FALSE
"@HDFC_Bank Kindly expedite the cashback on the credit card statement, its already been 3 months since the purchase,  ",21-01-2022 06:44,FALSE,0,0,2,hdfc,Mumbai,India,FALSE
@OlaElectric Is you support diner club hdfc credit card in final payment for ola scooter,21-01-2022 07:29,FALSE,0,0,1,hdfc,Delhi,India,FALSE
"CPGurugram, sbicards CMGurugram Sir, SBI credit card recovery people are tortouring me by whatsapp, calls and ph  ",21-01-2022 07:52,FALSE,0,0,1,SBI,Delhi,India,FALSE
"@ICICIBank @ICICIBank_Care @RBI Hi,
My name is Priyesh Kachhatiya and was a ICICI Bank credit card user, my card nu  ",21-01-2022 08:22,FALSE,0,0,0,icici,Mumbai,India,FALSE
@AndyJassy @AmitAgarwal @amazon @amazonIN Please refund my amount so that i dont have to pay my ICICI credit card b  ,21-01-2022 08:48,FALSE,0,0,1,icici,Delhi,India,FALSE
@amazonpayicici @BlueDartCares @BlueDart_ Hi my Amazon Pay ICICI Credit Card sent vide AWB 39194710881 has been mis  ,21-01-2022 09:08,TRUE,1,2,0,icici,Delhi,India,FALSE
"@HDFC_Bank  your Rupay credit card is not working , why u give us the card if you want costemers  do not use it...
banhdfccard",21-01-2022 09:15,TRUE,1,1,0,hdfc,Mumbai,India,FALSE
"@ICICIBank 
ICICI credit card calling for CC payment even after they have not delivered the card

They called in a  ",21-01-2022 09:32,FALSE,0,0,0,icici,Delhi,India,FALSE
"@amazonpay 
I am icici and amazon customer, first time applied for amazon pay icici credit card, and it was success  ",21-01-2022 09:51,TRUE,1,1,1,icici,Delhi,India,FALSE
"@SBICard_Connect Received a call, the caller was saying he was calling from SBI and was issuing credit card for me.  ",21-01-2022 09:51,FALSE,0,0,0,SBI,Delhi,India,FALSE
@HDFC_Bank credit card service is a fraud they charge me 2k extra on my 9k emi which is no cost emi. After taking t  ,21-01-2022 10:01,FALSE,0,0,-1,hdfc,Mumbai,India,FALSE
"@HDFC_Bank, Your Credit card verification agents are asking 1k to pass a CC verification, on refusing they are decl  ",21-01-2022 10:24,TRUE,1,1,-1,hdfc,Bangalore,India,FALSE
@HDFC_Bank hi i am hdfc regalia credit card customer and i am at dubai airport and i will receive 6 international l  ,21-01-2022 10:24,FALSE,0,0,0,hdfc,Delhi,India,FALSE
Dear @AxisBankSupport @AxisBank I am trying to contact customer care number but it shows wrong number.i have applie  ,21-01-2022 10:45,FALSE,0,0,-1,Axis,Delhi,India,FALSE
@AxisBankSupport hello axis support my credit card has been approved 20days ago but still the card is not dispatche  ,21-01-2022 10:47,FALSE,0,0,1,Axis,Kolkata,India,FALSE
"@HDFC_Bank @HDFCBank_Cares @RBI hi, thete is a credit card that has never been delivered to me, and today i got an  ",21-01-2022 11:03,FALSE,0,0,0,hdfc,Delhi,India,FALSE
hey @ICICIBank_Care could you guys please take a look at my Amazon pay icici credit Card application..i was told on  ,21-01-2022 12:17,FALSE,0,2,0,icici,Kolkata,India,FALSE
"@SBICard_Connect hi.....although I was told to deposit Rs.3,649/- which I did on 14/01/2022 to clear my sbi credit  ",21-01-2022 13:21,FALSE,0,0,1,SBI,Delhi,India,FALSE
