Title,View,View1,shortprofile,shortprofile2
Decent,HDFC Bank Credit Card,It is a good credit card that gave benefits on entertainment. I am satisfied with this.,"Reena Sen
Posted on: Dec 23, 2019",Reena Sen
Just A click and all Done,HDFC Bank Credit Card,Hi! i am very satisfied with the service because I got The Card in Just a single click with good limit. Really thanks to Paisabazaar and Ankit Pandey(EW04877).,"Ankush
Posted on: Nov 23, 2019",Ankush
Quick Service,IndusInd Bank Credit Card,I got my credit card form paisabazaar easily. It is so easy to apply and their support is the best tool to get it done on time. Thanks a lot for such a service.,"NKPS
Posted on: Sep 18, 2019",NKPS
Incredible card,HDFC Bank Credit Card,"It is truly addictive as the advantages are plenty. In fact, what you pay for the card is negligible if you compare it with the offerings. Now it appears I can't live without this card","V Srikanth
Posted on: Aug 28, 2019",V Srikanth
Incredible credit card,HDFC Bank Credit Card,"This card has no parallel. I have used plenty of credit cards but this offers innumerable benefits. Now it appears, I can't live without this card and it is truly addictive","V Srikanth
Posted on: Aug 28, 2019",V Srikanth
It was so easy,HSBC Bank Credit Card,It was so easy for me to cancel my old card and get a new one issued.,"Sayam
Posted on: Aug 11, 2019",Sayam
Misuse protection cover,HSBC Bank Credit Card,HSBC has given me a misuse protection cover on this card for 3 lacs.,"Manju
Posted on: Aug 11, 2019",Manju
Replacement facility,HSBC Bank Credit Card,There is an emergency card replacement facility available with my card.,"Manika
Posted on: Aug 11, 2019",Manika
All types of misuse,HSBC Bank Credit Card,"In case my card is lost, I am covered for all types of misuse.","Akshat
Posted on: Aug 11, 2019",Akshat
HSBC,HSBC Bank Credit Card,Glad that HSBC levies customers a zero liability on the losing of the card.,"Harsh
Posted on: Aug 11, 2019",Harsh
Emergency card replacement,HSBC Bank Credit Card,Had an emergency card replacement done for my card. So happy!,"Anil
Posted on: Aug 11, 2019",Anil
Facilities,HSBC Bank Credit Card,The facilities such as the concierge benefits are the perfect reward of this card.,"Shyama
Posted on: Aug 11, 2019",Shyama
Number of rewards,HSBC Bank Credit Card,Getting a good number of rewards on the transactions done with my card.,"Nalini
Posted on: Aug 11, 2019",Nalini
I am happy,HSBC Bank Credit Card,I am happy with the dining benefits applicable on this card.,"Abhish
Posted on: Aug 11, 2019",Abhish
Naturally brings good savings,HSBC Bank Credit Card,"This is by far the best credit card, I have used. Naturally brings good savings.","Neelima
Posted on: Aug 11, 2019",Neelima
Good rewards,HSBC Bank Credit Card,"On the spending done in telecom, I get good rewards with my card.","Nalini
Posted on: Aug 11, 2019",Nalini
Rewards,HSBC Bank Credit Card,"I had a spending of 4 lac, and I got 5X rewards for the same.","Rakshita
Posted on: Aug 11, 2019",Rakshita
Super happy and satiated,HSBC Bank Credit Card,Super happy and satiated with the benefits coming my way with this card.,"Samar
Posted on: Aug 11, 2019",Samar
Reward system,HSBC Bank Credit Card,The reward system of my HSBC card is great. It brings in multiple savings.,"Mahika
Posted on: Aug 11, 2019",Mahika
Reward points,HSBC Bank Credit Card,"Happy that per spending of Rs. 150 with my card, I get 2 reward points.","Mrinal
Posted on: Aug 11, 2019",Mrinal
I travel a lot,HSBC Bank Credit Card,"I travel a lot. So, I wanted a lounge access with this card, which I didn't. So a little disappointed there.","Asma
Posted on: Aug 11, 2019",Asma
Super happy,HSBC Bank Credit Card,The credit limit on this card is fairly decent. Super happy!,"Sujata
Posted on: Aug 11, 2019",Sujata
My salary is pretty decent,HSBC Bank Credit Card,"My salary is pretty decent. So, for me getting a loan on this card was so easy.","Meena
Posted on: Aug 11, 2019",Meena
Loyal customer,HSBC Bank Credit Card,"I am a loyal customer of HSBC and I have always cleared my dues in time. As a result, I never had to bear any interest cost.","Lama
Posted on: Aug 11, 2019",Lama
Decent interest cost,HSBC Bank Credit Card,There is a pretty decent interest cost applicable on my HSBC card.,"Daya
Posted on: Aug 11, 2019",Daya
EMI on my HSBC card,HSBC Bank Credit Card,"For me, getting a EMI on my HSBC card for a tenure of 12 months was so hassle free.","Esha
Posted on: Aug 11, 2019",Esha
Perfect reward packed card,HSBC Bank Credit Card,This card definitely assures a lot of savings. Perfect reward packed card.,"Suhana
Posted on: Aug 11, 2019",Suhana
Happy,HSBC Bank Credit Card,Happy to have received a lifetime free offer on this HSBC card.,"Hans
Posted on: Aug 11, 2019",Hans
Perfectly great reward,HSBC Bank Credit Card,This is a perfectly great reward based card which assures massive savings.,"Atmaram
Posted on: Aug 11, 2019",Atmaram
Travel vouchers,HSBC Bank Credit Card,I redeemed my earned travel vouchers for making a travel booking with my card.,"Tridha
Posted on: Aug 11, 2019",Tridha
Cleartrip,HSBC Bank Credit Card,"I got 2 vouchers from Cleartrip, each worth 1000 INR with my card.","Kamya
Posted on: Aug 11, 2019",Kamya
Online application,HSBC Bank Credit Card,I made an online application of this card and with it I got a free Bookmyshow voucher of INR 250.,"Shivam
Posted on: Aug 11, 2019",Shivam
Paperless method,HSBC Bank Credit Card,There was a 100% paperless method which was involved in the documentation and application of my card.,"Sona
Posted on: Aug 11, 2019",Sona
HSBC,HSBC Bank Credit Card,Super happy that HSBC had a simple process for the approval of this card.,"Savita
Posted on: Aug 11, 2019",Savita
Simple documentation,HSBC Bank Credit Card,There was a pretty simple documentation that went in with this HSBC card.,"Soha
Posted on: Aug 11, 2019",Soha
HSBC granted me a card,HSBC Bank Credit Card,Happy that HSBC granted me a card approval in just 7 days.,"Ashna
Posted on: Aug 11, 2019",Ashna
Traveling is so relaxed and rewarding,HSBC Bank Credit Card,Traveling is so relaxed and rewarding with this card. This card is accepted internationally.,"Tanya
Posted on: Aug 11, 2019",Tanya
HSBC card,HSBC Bank Credit Card,"I had lost my HSBC card while I was in Sri Lanka. Happy that even when abroad, HSBC was so quick with the replacement.","Bhavya
Posted on: Aug 11, 2019",Bhavya
Paperless method,HSBC Bank Credit Card,Glad that with HSBC a 100% paperless method was followed for my card.,"Pia
Posted on: Aug 11, 2019",Pia
Super happy,HSBC Bank Credit Card,Super happy with HSBC bank. They had my credit card delivered in only 6 days.,"Shankar
Posted on: Aug 11, 2019",Shankar
Easy to invest,HSBC Bank Credit Card,"Now, it is so simple and easy to invest in the big ticket items with this card.","Jia
Posted on: Aug 11, 2019",Jia
Value of my credit limit,HSBC Bank Credit Card,Happy that HSBC granted a loan against the 80% value of my credit limit.,"Vimal
Posted on: Aug 11, 2019",Vimal
Credit limit for my HSBC,HSBC Bank Credit Card,I got a really great credit limit for my HSBC card. It is 1 lac pm.,"Kajol
Posted on: Aug 11, 2019",Kajol
Pretty simple,HSBC Bank Credit Card,For me getting a cash loan against my HSBC card was pretty simple.,"Shankar
Posted on: Aug 11, 2019",Shankar
It is so perfect,HSBC Bank Credit Card,Glad I can use my HSBC card across the globe. It is so perfect!,"Atif
Posted on: Aug 11, 2019",Atif
Super content,HSBC Bank Credit Card,Super content with the fine benefits I am availing with this card.,"Himansh
Posted on: Aug 11, 2019",Himansh
Like this credit card,HSBC Bank Credit Card,Like this credit card. Good value added features. Like it!,"Rishab
Posted on: Aug 11, 2019",Rishab
Perfect benefits,HSBC Bank Credit Card,Been using this HSBC card for a while now. A perfect card with perfect benefits.,"Hemant
Posted on: Aug 11, 2019",Hemant
Love it,HSBC Bank Credit Card,Definitely a great card with a fine scheme of rewards. Love it!,"Abhya
Posted on: Aug 11, 2019",Abhya
Glad,HSBC Bank Credit Card,Glad that the agents were so helpful while guiding me through getting this card.,"Garv
Posted on: Aug 11, 2019",Garv
Super satiated,HSBC Bank Credit Card,"Super satiated with this card. On my spending done on hotel bookings, I got good rewards with this card.","Urvashi
Posted on: Aug 11, 2019",Urvashi
Perfectly rewarding,HSBC Bank Credit Card,Perfectly rewarding credit card. Simply love it! Great!,"Gopal
Posted on: Aug 11, 2019",Gopal
Love this card,HSBC Bank Credit Card,Love this card. It is a good low cost reward with high saving value.,"Komal
Posted on: Aug 11, 2019",Komal
Telecom spending,HSBC Bank Credit Card,"On my telecom spending, I get 3X the rewards with this card.","Jia
Posted on: Aug 11, 2019",Jia
I am super satiated,HSBC Bank Credit Card,I am super satiated with this card since it brings in a multitude of benefits my way.,"Somnath
Posted on: Aug 11, 2019",Somnath
Telecom services,HSBC Bank Credit Card,Availed telecom services with this card and got 6 reward points on every 150 INR spent.,"Tisha
Posted on: Aug 11, 2019",Tisha
BMS voucher,HSBC Bank Credit Card,"I got a BMS voucher worth 500 INR on my spending of over 50,000.","Vipul
Posted on: Aug 11, 2019",Vipul
Great card,HSBC Bank Credit Card,Definitely a great card which fetches me massive rewards on my milestone spending of 4 lac.,"Shyama
Posted on: Aug 11, 2019",Shyama
Great card,HSBC Bank Credit Card,Haven't ever seen a card with zero applicable fee. Great card.,"Gautam
Posted on: Aug 11, 2019",Gautam
Spending,HSBC Bank Credit Card,Getting mega rewards on the spending done on the hotels.,"Gia
Posted on: Aug 11, 2019",Gia
Rewards,HSBC Bank Credit Card,"On the spending between 4 to 10 lac, I earn 5X the rewards.","Raghav
Posted on: Aug 11, 2019",Raghav
Rewards with this card,HSBC Bank Credit Card,"Per 150 INR of spending, I get 6X the rewards with this card.","Ravish
Posted on: Aug 11, 2019",Ravish
Rewards with this card,HSBC Bank Credit Card,"When the spending is over 4 lac, I get 5X the rewards with this card.","Martha
Posted on: Aug 11, 2019",Martha
Rewards,HSBC Bank Credit Card,Glad that I am getting 3X the rewards on eating out with this card.,"Ramesh
Posted on: Aug 11, 2019",Ramesh
Thrilled,HSBC Bank Credit Card,I am really thrilled with the fact that there is no fee applicable on this card.,"Tahira
Posted on: Aug 11, 2019",Tahira
So good,HSBC Bank Credit Card,Happy and satiated with the scheme of this card. So good.,"Sharif
Posted on: Aug 11, 2019",Sharif
Happy and satiated,HSBC Bank Credit Card,Happy and satiated that the agents gave me every possible detail to ensure that I pick the right card.,"Hardev
Posted on: Aug 11, 2019",Hardev
Online application,HSBC Bank Credit Card,I did the online application for my card and got 10% cashback.,"Omar
Posted on: Aug 11, 2019",Omar
Amazing,HSBC Bank Credit Card,"Most amazing feature of this card is that with my spending of 10,000 I get 10% cashback with this card.","Amna
Posted on: Aug 11, 2019",Amna
Cleartrip voucher,HSBC Bank Credit Card,I got a Cleartrip voucher on my first transaction with HSBC.,"Kashif
Posted on: Aug 11, 2019",Kashif
International flight bookings,HSBC Bank Credit Card,"Whenever I do international flight bookings with MMT, I am given a cashback of INR 10,000.","Ashraf
Posted on: Aug 11, 2019",Ashraf
First transaction,HSBC Bank Credit Card,I did my very first transaction with this HSBC card and was given a free travel voucher.,"Fiza
Posted on: Aug 11, 2019",Fiza
Documentation,HSBC Bank Credit Card,The process involved in documentation was fairly simple and easy.,"Drishti
Posted on: Aug 11, 2019",Drishti
MMT,HSBC Bank Credit Card,The MMT bookings for the international flights are immensely rewarding with my card.,"Meena
Posted on: Aug 11, 2019",Meena
Cashback on the card,HSBC Bank Credit Card,"When I had a spending of INR 10,000 in the first 3 months of the card issue, I got 10% cashback on the card.","Charu
Posted on: Aug 11, 2019",Charu
Cashback on the card,HSBC Bank Credit Card,"When I had a spending of INR 10,000 in the first 3 months of the card issue, I got 10% cashback on the card.","Kapil
Posted on: Aug 11, 2019",Kapil
Zero annual or joining fee,HSBC Bank Credit Card,There is zero annual or joining fee applicable on my card.,"Zoya
Posted on: Aug 11, 2019",Zoya
I can be assured,HSBC Bank Credit Card,I can be assured of the fact that this is a great card. Pretty high on rewards too.,"Asma
Posted on: Aug 11, 2019",Asma
I get lauded,HSBC Bank Credit Card,I get lauded with 6 reward points every time I shop INR 150 with my card.,"Akshat
Posted on: Aug 11, 2019",Akshat
HSBC Platinum Card,HSBC Bank Credit Card,I like this HSBC Platinum Card for the reason that it has no fee applicable on it!,"Hanan
Posted on: Aug 11, 2019",Hanan
Redeemed my accrued rewards,HSBC Bank Credit Card,I redeemed my accrued rewards against the gift catalogue of HSBC.,"Rishab
Posted on: Aug 11, 2019",Rishab
Movies and eating out,HSBC Bank Credit Card,"Now when I go for movies and eating out, I pay with my card. Assures great savings!","Meeta
Posted on: Aug 11, 2019",Meeta
Flipkart shopping,HSBC Bank Credit Card,For me getting a 10% off on Flipkart shopping meant a lot!,"Farida
Posted on: Aug 11, 2019",Farida
Number of savings,HSBC Bank Credit Card,I had a good number of saving on this card in the last year.,"Nita
Posted on: Aug 11, 2019",Nita
Please HSBC,HSBC Bank Credit Card,I really want more offers on this card. Please HSBC!,"Tridha
Posted on: Aug 11, 2019",Tridha
Complimentary insurance,HSBC Bank Credit Card,The complimentary insurance benefit of this card was a good offer that I got!,"Chandni
Posted on: Aug 11, 2019",Chandni
Free add on card,HSBC Bank Credit Card,"For me, I loved the fact that with my card, I could get a free add on card.","Mahima
Posted on: Aug 11, 2019",Mahima
Offers are perfect,HSBC Bank Credit Card,Deals applicable on the card are great and the offers are perfect too.,"Omkar
Posted on: Aug 11, 2019",Omkar
This one is great,HSBC Bank Credit Card,There just couldn't have been a more perfect card. This one is great!,"Tia
Posted on: Aug 11, 2019",Tia
HSBC card,HSBC Bank Credit Card,The best feature of this HSBC card is its emergency money feature. Love it!,"Somal
Posted on: Aug 11, 2019",Somal
Love it,HSBC Bank Credit Card,This one was worth a pick! Totally a great card. Love it!,"Seeta
Posted on: Aug 11, 2019",Seeta
I am content and happy,HSBC Bank Credit Card,I am content and happy with the good deals and rewards applicable on this card.,"Abhish
Posted on: Aug 11, 2019",Abhish
Interest,HSBC Bank Credit Card,I never had to bear a cost in the name of interest since I have always cleared my bill on time.,"Amna
Posted on: Aug 11, 2019",Amna
Getting an approval,HSBC Bank Credit Card,"For me, getting an approval was easy since I have a good credit history.","Girija
Posted on: Aug 11, 2019",Girija
Fairly low,HSBC Bank Credit Card,Interest cost applicable on this card is fairly low.,"Fiza
Posted on: Aug 11, 2019",Fiza
Transactions,HSBC Bank Credit Card,This card assures that all the transactions done stay safe and secure.,"Tia
Posted on: Aug 11, 2019",Tia
Discount,HSBC Bank Credit Card,I got a discount of 10% on my shopping done with Flipkart.,"Nahira
Posted on: Aug 11, 2019",Nahira
Swiggy,HSBC Bank Credit Card,"On my first order with Swiggy, I got INR 250 off on this card.","Savitri
Posted on: Aug 11, 2019",Savitri
HSBC card online,HSBC Bank Credit Card,I applied for my HSBC card online and got a Bookmyshow voucher worth INR 250.,"Amay
Posted on: Aug 11, 2019",Amay
HSBC card,HSBC Bank Credit Card,"On my HSBC card, I had a saving of 3000 INR on movies. Perfect!","Mukti
Posted on: Aug 11, 2019",Mukti
Eating out,HSBC Bank Credit Card,"For people who like eating out or going for movies, there couldn't have been a better card.","Ena
Posted on: Aug 11, 2019",Ena
No hassle,HSBC Bank Credit Card,Been using this card for 4 years. Haven't ever faced any hassle,"Nuksar
Posted on: Aug 11, 2019",Nuksar
Little annual fee,HSBC Bank Credit Card,This is a card with a great scheme and a little annual fee.,"Harsh
Posted on: Aug 11, 2019",Harsh
Discount,HSBC Bank Credit Card,I am getting a discount of 15% on dining with my card at the partner restaurants of HSBC.,"Disha
Posted on: Aug 11, 2019",Disha
Fine mix of benefits,HSBC Bank Credit Card,Glad I am receiving such a fine mix of benefits on this card.,"Meena
Posted on: Aug 11, 2019",Meena
Pretty delighted,HSBC Bank Credit Card,Pretty delighted with the great credit limit applicable on this card.,"Fazil
Posted on: Aug 11, 2019",Fazil
It was so easy,HSBC Bank Credit Card,It was so easy for me to redeem my rewards on this card. So easy and effortless.,"Dhruv
Posted on: Aug 11, 2019",Dhruv
Love it,HSBC Bank Credit Card,For me it was easy to redeem the cards against gift vouchers. Love it!,"Sheena
Posted on: Aug 11, 2019",Sheena
Love it,HSBC Bank Credit Card,This is a perfect card with a good mix of benefits. Love it!,"Lavish
Posted on: Aug 11, 2019",Lavish
AirMiles,HSBC Bank Credit Card,For me it was easy to redeem my rewards against AirMiles and get saving on flight bookings.,"Ashraf
Posted on: Aug 11, 2019",Ashraf
Never ever switching,HSBC Bank Credit Card,Never ever switching! This is a good value and a low cost card with great savings assured.,"Bidisha
Posted on: Aug 11, 2019",Bidisha
Rewards accrued,HSBC Bank Credit Card,For me redeeming the rewards accrued on this card was so easy.,"Rashmi
Posted on: Aug 11, 2019",Rashmi
Happy,HSBC Bank Credit Card,Happy with my accelerated reward benefits coming with my HSBC card.,"Hardik
Posted on: Aug 11, 2019",Hardik
Reasonable fee,HSBC Bank Credit Card,Only a reasonable fee of INR 50 is charged for the redemption of the rewards.,"Reema
Posted on: Aug 11, 2019",Reema
I am happy,HSBC Bank Credit Card,"I am happy that I can use this card anytime, anywhere.","Astha
Posted on: Aug 11, 2019",Astha
No fee is charged,HSBC Bank Credit Card,"For getting an add on card with this card, no fee is charged.","Nisha
Posted on: Aug 11, 2019",Nisha
Balance transfer on EMI,HSBC Bank Credit Card,For me balance transfer on EMI was a fine option with this card. Love it!,"Bhakti
Posted on: Aug 11, 2019",Bhakti
Add on card for free,HSBC Bank Credit Card,It is easy for me to get an add on card without any additional fee on this card.,"Aman
Posted on: Aug 11, 2019",Aman
Financial crunch,HSBC Bank Credit Card,"Since I had a bit of financial crunch, I got my amount due on the card converted into EMI.","Sanjana
Posted on: Aug 11, 2019",Sanjana
Fuel waiver,HSBC Bank Credit Card,There was an instant fuel waiver applicable on my HSBC card.,"Farida
Posted on: Aug 11, 2019",Farida
EMI scheme,HSBC Bank Credit Card,Getting a good EMI scheme with this card is easily possible. Perfect pick!,"Anita
Posted on: Aug 11, 2019",Anita
Great accelerated rewards,HSBC Bank Credit Card,I am granted great accelerated rewards on my spending over 4 lac.,"Sheetal
Posted on: Aug 11, 2019",Sheetal
Markup fee,HSBC Bank Credit Card,Since the markup fee on the card is low. I can easily shop with my HSBC card when traveling,"Makrant
Posted on: Aug 11, 2019",Makrant
Complementary insurance cover,HSBC Bank Credit Card,I am getting a complementary insurance cover with my HSBC platinum card.,"Rubal
Posted on: Aug 11, 2019",Rubal
Satiated,HSBC Bank Credit Card,Satiated with the global acceptability and the hassle free international usage of this card.,"Shama
Posted on: Aug 11, 2019",Shama
Happy,HSBC Bank Credit Card,Happy that this card brought me a good credit limit. So happy and content!,"Heena
Posted on: Aug 11, 2019",Heena
I am happy,HSBC Bank Credit Card,I am happy that I wasn't held liable for any potential fraud that could occur on losing this card.,"Antu
Posted on: Aug 11, 2019",Antu
I had lost my card,HSBC Bank Credit Card,I had lost my card and with HSBC the replacement card came in just 3 days.,"Anju
Posted on: Aug 11, 2019",Anju
Perfect steal,HSBC Bank Credit Card,This card is accepted at a global level. Perfect steal!,"Paridhi
Posted on: Aug 11, 2019",Paridhi
Good credit limit,HSBC Bank Credit Card,Getting a good credit limit despite an average salary was so easy with my HSBC card.,"Sheena
Posted on: Aug 11, 2019",Sheena
Paperless method,HSBC Bank Credit Card,There was a complete paperless method involved in the savings offered with this card.,"Paridhi
Posted on: Aug 11, 2019",Paridhi
Favorite,HSBC Bank Credit Card,For me this card is my favorite. It has amplified my savings aggressively.,"Farida
Posted on: Aug 11, 2019",Farida
Cash loan,HSBC Bank Credit Card,For me it was so easy to get a cash loan against my HSBC card.,"Rabia
Posted on: Aug 11, 2019",Rabia
Credit limit,HSBC Bank Credit Card,There is a credit limit of 100k applicable on my HSBC card.,"Komal
Posted on: Aug 11, 2019",Komal
Annual income,HSBC Bank Credit Card,"With an annual income of 10 lac, I got my approval for the card in no time.","Anita
Posted on: Aug 11, 2019",Anita
Foreign currency markup,HSBC Bank Credit Card,There is a foreign currency markup rate of only 2% applicable on this card.,"Farida
Posted on: Aug 11, 2019",Farida
Global acceptance,HSBC Bank Credit Card,"This is a great card with global acceptance, love it!","Kabir
Posted on: Aug 11, 2019",Kabir
Paying out the bills,HSBC Bank Credit Card,I can now use my HSBC card for paying out the bills.,"Prakriti
Posted on: Aug 11, 2019",Prakriti
I am glad,HSBC Bank Credit Card,I am glad that my savings have almost doubled ever since I switched to this card.,"Amisha
Posted on: Aug 11, 2019",Amisha
Fine array of savings,HSBC Bank Credit Card,"With the fine array of savings and rewards assured, this is a great card.","Farida
Posted on: Aug 11, 2019",Farida
Happy and thrilled,HSBC Bank Credit Card,Happy and thrilled with magnanimous savings assured with this HSBC card.,"Haneet
Posted on: Aug 11, 2019",Haneet
Cash on an emergency,HSBC Bank Credit Card,"With my HSBC card, I can get cash on an emergency. It is a good card.","Sohail
Posted on: Aug 11, 2019",Sohail
Array of savings,HSBC Bank Credit Card,"With the fine array of savings and rewards assured, this is a great card.","Idresh
Posted on: Aug 11, 2019",Idresh
Good pick,HSBC Bank Credit Card,"For people planning to travel abroad, this can be a good pick!","Gomti
Posted on: Aug 11, 2019",Gomti
Recommended,HSBC Bank Credit Card,Haven't ever seen a more perfect and a complete reward based card. Recommended.,"Rupali
Posted on: Aug 11, 2019",Rupali
Impressed,HSBC Bank Credit Card,Impressed with the offers of this card. Just too perfect!,"Anshu
Posted on: Aug 11, 2019",Anshu
Perfect card,HSBC Bank Credit Card,Perfect card with perfect rewards and benefits. Love it!,"Pavitra
Posted on: Aug 11, 2019",Pavitra
Great card,HSBC Bank Credit Card,"Obviously a great card with massive benefits coming my way, every now and then.","Shyam
Posted on: Aug 11, 2019",Shyam
iPhone,HSBC Bank Credit Card,"When I needed an iPhone, I used my card's flexi pay option and got it on EMI.","Sakshi
Posted on: Aug 11, 2019",Sakshi
EMI,HSBC Bank Credit Card,There is a possibility of getting an EMI for a tenure of up to 2 years with my HSBC card.,"Ansha
Posted on: Aug 11, 2019",Ansha
It is so easy,HSBC Bank Credit Card,It is so easy to now buy all the heavy value items. I can now pay a small amount and get the balance converted into EMI.,"Akshita
Posted on: Aug 11, 2019",Akshita
Recommended,HSBC Bank Credit Card,Recommend this to everyone who wishes to save more with the spending.,"Sophie
Posted on: Aug 11, 2019",Sophie
Value packed card,HSBC Bank Credit Card,I literally haven’t ever seen a more complete and a value packed card.,"Yamini
Posted on: Aug 11, 2019",Yamini
Plethora of savings,HSBC Bank Credit Card,A great card with a plethora of savings assured. Love it!,"Sheetal
Posted on: Aug 11, 2019",Sheetal
Phenomenal cashback offers,HSBC Bank Credit Card,This is obviously a good card with phenomenal cashback offers.,"Shayama
Posted on: Aug 11, 2019",Shayama
Accelerated savings,HSBC Bank Credit Card,"On the spending over and above the limit of 4 lac, I get accelerated savings with my HSBC card.","Amish
Posted on: Aug 11, 2019",Amish
Complete waiver,HSBC Bank Credit Card,I am getting a complete waiver on the surcharge amount with my HSBC card.,"Sita
Posted on: Aug 11, 2019",Sita
No fee on joining,HSBC Bank Credit Card,"Glad that there wasn't any fee on joining. Further, no annual fee was applicable either.","Nutan
Posted on: Aug 11, 2019",Nutan
Complete card,HSBC Bank Credit Card,Couldn't have found a more complete card. This one is perfect!,"Kashma
Posted on: Aug 11, 2019",Kashma
Amazing savings,HSBC Bank Credit Card,Delighted with the amazing savings coming my way with my HSBC card.,"Anshika
Posted on: Aug 11, 2019",Anshika
Saving assured,HSBC Bank Credit Card,Great reward and saving assured with this card. Love it!,"Sonali
Posted on: Aug 11, 2019",Sonali
Super satiated,HSBC Bank Credit Card,Super satiated on opting for this card. Definitely a good pick.,"Shivam
Posted on: Aug 11, 2019",Shivam
HSBC platinum card,HSBC Bank Credit Card,"If you opt for this HSBC platinum card, you can be assured of mega savings coming your way.","Ishan
Posted on: Aug 11, 2019",Ishan
I am glad,HSBC Bank Credit Card,I am glad I went ahead with the HSBC bank. It is a good bank and the card is great too.,"Anshita
Posted on: Aug 11, 2019",Anshita
Documentation,HSBC Bank Credit Card,"The process involved in documentation was easy to follow. No lengthy procedures or documents, needed!","Dikshi
Posted on: Aug 11, 2019",Dikshi
Super happy,HSBC Bank Credit Card,Super happy that I opted for this card. Definitely a good pick.,"Somani
Posted on: Aug 11, 2019",Somani
Happy and satiated,HSBC Bank Credit Card,Happy and satiated with the fine mix of benefits coming my way with this card.,"Harshita
Posted on: Aug 11, 2019",Harshita
Lifetime free offer,HSBC Bank Credit Card,I got a lifetime free offer on this card. Perfect pick as always.,"Savitri
Posted on: Aug 11, 2019",Savitri
Best card ever,HSBC Bank Credit Card,Absolutely zero annual fee. This is the best card ever.,"Bina
Posted on: Aug 11, 2019",Bina
Saving,HSBC Bank Credit Card,Glad that there is more saving and less cost with this card.,"Shresht
Posted on: Aug 11, 2019",Shresht
Great savings,HSBC Bank Credit Card,"On the bill payments as well as recharges, I get great savings with this card.","Gopal
Posted on: Aug 11, 2019",Gopal
HSBC,HSBC Bank Credit Card,Happy that HSBC keeps adding on more and more great offers on this card.,"Hansika
Posted on: Aug 11, 2019",Hansika
Perfect pick,HSBC Bank Credit Card,There is no boundary to my happiness. This one is a perfect pick!,"Pankaj
Posted on: Aug 11, 2019",Pankaj
